idx,code,ast,label
0,"def avg(nums):
    sum, len = 0, len(nums)
    for n in nums:
        sum += int(n)
    return sum / len","module::left function_definition::left def avg parameters::left ( nums ) parameters::right : block::left expression_statement::left assignment::left pattern_list::left sum , len pattern_list::right = expression_list::left 0 , call::left len argument_list::left ( nums ) argument_list::right call::right expression_list::right assignment::right expression_statement::right for_statement::left for n in nums : block::left expression_statement::left augmented_assignment::left sum += call::left int argument_list::left ( n ) argument_list::right call::right augmented_assignment::right expression_statement::right block::right for_statement::right return_statement::left return binary_operator::left sum / len binary_operator::right return_statement::right block::right function_definition::right module::right",lm
1,"def mul_list(nums1,nums2):
  result = map(lambda x, y: x * y, nums1, nums2)
  return list(result)","module::left function_definition::left def mul_list parameters::left ( nums1 , nums2 ) parameters::right : block::left expression_statement::left assignment::left result = call::left map argument_list::left ( lambda::left lambda lambda_parameters::left x , y lambda_parameters::right : binary_operator::left x * y binary_operator::right lambda::right , nums1 , nums2 ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return call::left list argument_list::left ( result ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",human
2,"def parallelogram_area(base, height):
    return base*height","module::left function_definition::left def parallelogram_area parameters::left ( base , height ) parameters::right : block::left return_statement::left return binary_operator::left base * height binary_operator::right return_statement::right block::right function_definition::right module::right",lm
3,"def rearrange(arr):
    i=-1
    for j in range(len(arr)):
        if arr[j] < 0:
            i=i+1
            arr[i], arr[j] = arr[j], arr[i]
    pos = i+1
    neg = 0
    while(pos < len(arr) and neg < pos and arr[neg] < 0):
        arr[pos], arr[neg] = arr[neg], arr[pos]
        pos = pos+1
        neg = neg+2
    return arr","module::left function_definition::left def rearrange parameters::left ( arr ) parameters::right : block::left expression_statement::left assignment::left i = unary_operator::left - 1 unary_operator::right assignment::right expression_statement::right for_statement::left for j in call::left range argument_list::left ( call::left len argument_list::left ( arr ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left subscript::left arr [ j ] subscript::right < 0 comparison_operator::right : block::left expression_statement::left assignment::left i = binary_operator::left i + 1 binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left pattern_list::left subscript::left arr [ i ] subscript::right , subscript::left arr [ j ] subscript::right pattern_list::right = expression_list::left subscript::left arr [ j ] subscript::right , subscript::left arr [ i ] subscript::right expression_list::right assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right expression_statement::left assignment::left pos = binary_operator::left i + 1 binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left neg = 0 assignment::right expression_statement::right while_statement::left while parenthesized_expression::left ( boolean_operator::left boolean_operator::left comparison_operator::left pos < call::left len argument_list::left ( arr ) argument_list::right call::right comparison_operator::right and comparison_operator::left neg < pos comparison_operator::right boolean_operator::right and comparison_operator::left subscript::left arr [ neg ] subscript::right < 0 comparison_operator::right boolean_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left pattern_list::left subscript::left arr [ pos ] subscript::right , subscript::left arr [ neg ] subscript::right pattern_list::right = expression_list::left subscript::left arr [ neg ] subscript::right , subscript::left arr [ pos ] subscript::right expression_list::right assignment::right expression_statement::right expression_statement::left assignment::left pos = binary_operator::left pos + 1 binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left neg = binary_operator::left neg + 2 binary_operator::right assignment::right expression_statement::right block::right while_statement::right return_statement::left return arr return_statement::right block::right function_definition::right module::right",lm
4,"3
def remove_duplicates(test_tup, fill_val): 
  res = [] 
  seen = set() 
  for ele in test_tup: 
    if ele not in seen: 
      res.append(ele) 
      seen.add(ele) 
    else: 
      res.append(fill_val) 
  return (res)","module::left expression_statement::left 3 expression_statement::right function_definition::left def remove_duplicates parameters::left ( test_tup , fill_val ) parameters::right : block::left expression_statement::left assignment::left res = list::left [ ] list::right assignment::right expression_statement::right expression_statement::left assignment::left seen = call::left set argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for ele in test_tup : block::left if_statement::left if comparison_operator::left ele not in seen comparison_operator::right : block::left expression_statement::left call::left attribute::left res . append attribute::right argument_list::left ( ele ) argument_list::right call::right expression_statement::right expression_statement::left call::left attribute::left seen . add attribute::right argument_list::left ( ele ) argument_list::right call::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left call::left attribute::left res . append attribute::right argument_list::left ( fill_val ) argument_list::right call::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return parenthesized_expression::left ( res ) parenthesized_expression::right return_statement::right block::right function_definition::right module::right",lm
5,"def sum_of_range_in_list(list1, start_index, end_index):
    return sum(list1[start_index:end_index + 1])","module::left function_definition::left def sum_of_range_in_list parameters::left ( list1 , start_index , end_index ) parameters::right : block::left return_statement::left return call::left sum argument_list::left ( subscript::left list1 [ slice::left start_index : binary_operator::left end_index + 1 binary_operator::right slice::right ] subscript::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
6,"def check_monthnumber(monthname3):
  if monthname3 ==""April"" or monthname3== ""June"" or monthname3== ""September"" or monthname3== ""November"":
    return True
  else:
    return False","module::left function_definition::left def check_monthnumber parameters::left ( monthname3 ) parameters::right : block::left if_statement::left if boolean_operator::left boolean_operator::left boolean_operator::left comparison_operator::left monthname3 == string::left "" April "" string::right comparison_operator::right or comparison_operator::left monthname3 == string::left "" June "" string::right comparison_operator::right boolean_operator::right or comparison_operator::left monthname3 == string::left "" September "" string::right comparison_operator::right boolean_operator::right or comparison_operator::left monthname3 == string::left "" November "" string::right comparison_operator::right boolean_operator::right : block::left return_statement::left return True return_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
7,"import cmath

def get_length_complex(complex_num):
    """"""Get the length of a complex number.""""""
    return abs(complex_num)","module::left import_statement::left import dotted_name::left cmath dotted_name::right import_statement::right function_definition::left def get_length_complex parameters::left ( complex_num ) parameters::right : block::left expression_statement::left string::left """""" Get the length of a complex number. """""" string::right expression_statement::right return_statement::left return call::left abs argument_list::left ( complex_num ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
8,"def max_sum(tri, n): 
	if n > 1: 
		tri[1][1] = tri[1][1]+tri[0][0] 
		tri[1][0] = tri[1][0]+tri[0][0] 
	for i in range(2, n): 
		tri[i][0] = tri[i][0] + tri[i-1][0] 
		tri[i][i] = tri[i][i] + tri[i-1][i-1] 
		for j in range(1, i): 
			if tri[i][j]+tri[i-1][j-1] >= tri[i][j]+tri[i-1][j]: 
				tri[i][j] = tri[i][j] + tri[i-1][j-1] 
			else: 
				tri[i][j] = tri[i][j]+tri[i-1][j] 
	return (max(tri[n-1]))","module::left function_definition::left def max_sum parameters::left ( tri , n ) parameters::right : block::left if_statement::left if comparison_operator::left n > 1 comparison_operator::right : block::left expression_statement::left assignment::left subscript::left subscript::left tri [ 1 ] subscript::right [ 1 ] subscript::right = binary_operator::left subscript::left subscript::left tri [ 1 ] subscript::right [ 1 ] subscript::right + subscript::left subscript::left tri [ 0 ] subscript::right [ 0 ] subscript::right binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left subscript::left subscript::left tri [ 1 ] subscript::right [ 0 ] subscript::right = binary_operator::left subscript::left subscript::left tri [ 1 ] subscript::right [ 0 ] subscript::right + subscript::left subscript::left tri [ 0 ] subscript::right [ 0 ] subscript::right binary_operator::right assignment::right expression_statement::right block::right if_statement::right for_statement::left for i in call::left range argument_list::left ( 2 , n ) argument_list::right call::right : block::left expression_statement::left assignment::left subscript::left subscript::left tri [ i ] subscript::right [ 0 ] subscript::right = binary_operator::left subscript::left subscript::left tri [ i ] subscript::right [ 0 ] subscript::right + subscript::left subscript::left tri [ binary_operator::left i - 1 binary_operator::right ] subscript::right [ 0 ] subscript::right binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left subscript::left subscript::left tri [ i ] subscript::right [ i ] subscript::right = binary_operator::left subscript::left subscript::left tri [ i ] subscript::right [ i ] subscript::right + subscript::left subscript::left tri [ binary_operator::left i - 1 binary_operator::right ] subscript::right [ binary_operator::left i - 1 binary_operator::right ] subscript::right binary_operator::right assignment::right expression_statement::right for_statement::left for j in call::left range argument_list::left ( 1 , i ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left subscript::left subscript::left tri [ i ] subscript::right [ j ] subscript::right + subscript::left subscript::left tri [ binary_operator::left i - 1 binary_operator::right ] subscript::right [ binary_operator::left j - 1 binary_operator::right ] subscript::right binary_operator::right >= binary_operator::left subscript::left subscript::left tri [ i ] subscript::right [ j ] subscript::right + subscript::left subscript::left tri [ binary_operator::left i - 1 binary_operator::right ] subscript::right [ j ] subscript::right binary_operator::right comparison_operator::right : block::left expression_statement::left assignment::left subscript::left subscript::left tri [ i ] subscript::right [ j ] subscript::right = binary_operator::left subscript::left subscript::left tri [ i ] subscript::right [ j ] subscript::right + subscript::left subscript::left tri [ binary_operator::left i - 1 binary_operator::right ] subscript::right [ binary_operator::left j - 1 binary_operator::right ] subscript::right binary_operator::right assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left assignment::left subscript::left subscript::left tri [ i ] subscript::right [ j ] subscript::right = binary_operator::left subscript::left subscript::left tri [ i ] subscript::right [ j ] subscript::right + subscript::left subscript::left tri [ binary_operator::left i - 1 binary_operator::right ] subscript::right [ j ] subscript::right binary_operator::right assignment::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return parenthesized_expression::left ( call::left max argument_list::left ( subscript::left tri [ binary_operator::left n - 1 binary_operator::right ] subscript::right ) argument_list::right call::right ) parenthesized_expression::right return_statement::right block::right function_definition::right module::right",human
9,"def Check_Solution(a,b,c): 
    if (a == c): 
        return (""Yes""); 
    else: 
        return (""No""); ","module::left function_definition::left def Check_Solution parameters::left ( a , b , c ) parameters::right : block::left if_statement::left if parenthesized_expression::left ( comparison_operator::left a == c comparison_operator::right ) parenthesized_expression::right : block::left return_statement::left return parenthesized_expression::left ( string::left "" Yes "" string::right ) parenthesized_expression::right return_statement::right ; block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( string::left "" No "" string::right ) parenthesized_expression::right return_statement::right ; block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
