idx,code,ast,label
0,"def int_to_mini_roman(number):
    values = [
        1000, 900, 500, 400, 100,
        90, 50, 40, 10, 9, 5, 4, 1
    ]
    roman_values = [
        ""m"", ""cm"", ""d"", ""cd"", ""c""
        ""xc"", ""l"", ""xl"", ""x"", ""ix"", ""v"", ""iv"", ""i""
    ]
    roman_number = ''
    i = 0
    while number > 0:
        for _ in range(number // values[i]):
            roman_number += roman_values[i]
            number -= values[i]
        i += 1
    return roman_number","module::left function_definition::left def int_to_mini_roman parameters::left ( number ) parameters::right : block::left expression_statement::left assignment::left values = list::left [ 1000 , 900 , 500 , 400 , 100 , 90 , 50 , 40 , 10 , 9 , 5 , 4 , 1 ] list::right assignment::right expression_statement::right expression_statement::left assignment::left roman_values = list::left [ string::left "" m "" string::right , string::left "" cm "" string::right , string::left "" d "" string::right , string::left "" cd "" string::right , concatenated_string::left string::left "" c "" string::right string::left "" xc "" string::right concatenated_string::right , string::left "" l "" string::right , string::left "" xl "" string::right , string::left "" x "" string::right , string::left "" ix "" string::right , string::left "" v "" string::right , string::left "" iv "" string::right , string::left "" i "" string::right ] list::right assignment::right expression_statement::right expression_statement::left assignment::left roman_number = string::left ' ' string::right assignment::right expression_statement::right expression_statement::left assignment::left i = 0 assignment::right expression_statement::right while_statement::left while comparison_operator::left number > 0 comparison_operator::right : block::left for_statement::left for _ in call::left range argument_list::left ( binary_operator::left number // subscript::left values [ i ] subscript::right binary_operator::right ) argument_list::right call::right : block::left expression_statement::left augmented_assignment::left roman_number += subscript::left roman_values [ i ] subscript::right augmented_assignment::right expression_statement::right expression_statement::left augmented_assignment::left number -= subscript::left values [ i ] subscript::right augmented_assignment::right expression_statement::right block::right for_statement::right expression_statement::left augmented_assignment::left i += 1 augmented_assignment::right expression_statement::right block::right while_statement::right return_statement::left return roman_number return_statement::right block::right function_definition::right module::right",lm
1,"def words_in_sentence(sentence):

    def is_prime(n):
        if n <= 1:
            return False
        if n <= 3:
            return True
        if n % 2 == 0 or n % 3 == 0:
            return False
        i = 5
        while i * i <= n:
            if n % i == 0 or n % (i + 2) == 0:
                return False
            i += 6
        return True

    words = sentence.split()
    new_sentence = """"
    for word in words:
        if is_prime(len(word)):
            new_sentence += word + "" ""

    return new_sentence.strip()","module::left function_definition::left def words_in_sentence parameters::left ( sentence ) parameters::right : block::left function_definition::left def is_prime parameters::left ( n ) parameters::right : block::left if_statement::left if comparison_operator::left n <= 1 comparison_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right if_statement::left if comparison_operator::left n <= 3 comparison_operator::right : block::left return_statement::left return True return_statement::right block::right if_statement::right if_statement::left if boolean_operator::left comparison_operator::left binary_operator::left n % 2 binary_operator::right == 0 comparison_operator::right or comparison_operator::left binary_operator::left n % 3 binary_operator::right == 0 comparison_operator::right boolean_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right expression_statement::left assignment::left i = 5 assignment::right expression_statement::right while_statement::left while comparison_operator::left binary_operator::left i * i binary_operator::right <= n comparison_operator::right : block::left if_statement::left if boolean_operator::left comparison_operator::left binary_operator::left n % i binary_operator::right == 0 comparison_operator::right or comparison_operator::left binary_operator::left n % parenthesized_expression::left ( binary_operator::left i + 2 binary_operator::right ) parenthesized_expression::right binary_operator::right == 0 comparison_operator::right boolean_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left i += 6 augmented_assignment::right expression_statement::right block::right while_statement::right return_statement::left return True return_statement::right block::right function_definition::right expression_statement::left assignment::left words = call::left attribute::left sentence . split attribute::right argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left assignment::left new_sentence = string::left "" "" string::right assignment::right expression_statement::right for_statement::left for word in words : block::left if_statement::left if call::left is_prime argument_list::left ( call::left len argument_list::left ( word ) argument_list::right call::right ) argument_list::right call::right : block::left expression_statement::left augmented_assignment::left new_sentence += binary_operator::left word + string::left ""   "" string::right binary_operator::right augmented_assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return call::left attribute::left new_sentence . strip attribute::right argument_list::left ( ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
2,"def sort_third(l: list):
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
    """"""
    ret = []
    for i in range(len(l)):
        if i % 3 == 0:
            ret.append(sorted(l[i:i+3])[i % 3])
        else:
            ret.append(l[i])
    return ret","module::left function_definition::left def sort_third parameters::left ( typed_parameter::left l : type::left list type::right typed_parameter::right ) parameters::right : block::left expression_statement::left string::left """""" This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
     """""" string::right expression_statement::right expression_statement::left assignment::left ret = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left i % 3 binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left call::left attribute::left ret . append attribute::right argument_list::left ( subscript::left call::left sorted argument_list::left ( subscript::left l [ slice::left i : binary_operator::left i + 3 binary_operator::right slice::right ] subscript::right ) argument_list::right call::right [ binary_operator::left i % 3 binary_operator::right ] subscript::right ) argument_list::right call::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left call::left attribute::left ret . append attribute::right argument_list::left ( subscript::left l [ i ] subscript::right ) argument_list::right call::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return ret return_statement::right block::right function_definition::right module::right",lm
3,"def max_element(l: list):
    m = l[0]
    for e in l:
        if e > m:
            m = e
    return m
",module::left function_definition::left def max_element parameters::left ( typed_parameter::left l : type::left list type::right typed_parameter::right ) parameters::right : block::left expression_statement::left assignment::left m = subscript::left l [ 0 ] subscript::right assignment::right expression_statement::right for_statement::left for e in l : block::left if_statement::left if comparison_operator::left e > m comparison_operator::right : block::left expression_statement::left assignment::left m = e assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return m return_statement::right block::right function_definition::right module::right,human
4,"def prod_signs(arr):
    if not arr:
        return None

    sign = 1
    sum = 0

    for num in arr:
        if num == 0:
            return 0
        
        if num < 0:
            sign *= -1

        sum += abs(num)

    return sign * sum",module::left function_definition::left def prod_signs parameters::left ( arr ) parameters::right : block::left if_statement::left if not_operator::left not arr not_operator::right : block::left return_statement::left return None return_statement::right block::right if_statement::right expression_statement::left assignment::left sign = 1 assignment::right expression_statement::right expression_statement::left assignment::left sum = 0 assignment::right expression_statement::right for_statement::left for num in arr : block::left if_statement::left if comparison_operator::left num == 0 comparison_operator::right : block::left return_statement::left return 0 return_statement::right block::right if_statement::right if_statement::left if comparison_operator::left num < 0 comparison_operator::right : block::left expression_statement::left augmented_assignment::left sign *= unary_operator::left - 1 unary_operator::right augmented_assignment::right expression_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left sum += call::left abs argument_list::left ( num ) argument_list::right call::right augmented_assignment::right expression_statement::right block::right for_statement::right return_statement::left return binary_operator::left sign * sum binary_operator::right return_statement::right block::right function_definition::right module::right,lm
5,"def fib(n: int):
    """"""Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
    """"""
    if n < 2:
        return n
    else:
        return fib(n-1) + fib(n-2)","module::left function_definition::left def fib parameters::left ( typed_parameter::left n : type::left int type::right typed_parameter::right ) parameters::right : block::left expression_statement::left string::left """""" Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
     """""" string::right expression_statement::right if_statement::left if comparison_operator::left n < 2 comparison_operator::right : block::left return_statement::left return n return_statement::right block::right else_clause::left else : block::left return_statement::left return binary_operator::left call::left fib argument_list::left ( binary_operator::left n - 1 binary_operator::right ) argument_list::right call::right + call::left fib argument_list::left ( binary_operator::left n - 2 binary_operator::right ) argument_list::right call::right binary_operator::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",lm
6,"def rounded_avg(n, m):
    if m < n:
        return -1
    summation = 0
    for i in range(n, m+1):
        summation += i
    return bin(round(summation/(m - n + 1)))
","module::left function_definition::left def rounded_avg parameters::left ( n , m ) parameters::right : block::left if_statement::left if comparison_operator::left m < n comparison_operator::right : block::left return_statement::left return unary_operator::left - 1 unary_operator::right return_statement::right block::right if_statement::right expression_statement::left assignment::left summation = 0 assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( n , binary_operator::left m + 1 binary_operator::right ) argument_list::right call::right : block::left expression_statement::left augmented_assignment::left summation += i augmented_assignment::right expression_statement::right block::right for_statement::right return_statement::left return call::left bin argument_list::left ( call::left round argument_list::left ( binary_operator::left summation / parenthesized_expression::left ( binary_operator::left binary_operator::left m - n binary_operator::right + 1 binary_operator::right ) parenthesized_expression::right binary_operator::right ) argument_list::right call::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",human
7,"def is_bored(S):
    import re
    sentences = re.split(r'[.?!]\s*', S)
    return sum(sentence[0:2] == 'I ' for sentence in sentences)
","module::left function_definition::left def is_bored parameters::left ( S ) parameters::right : block::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right expression_statement::left assignment::left sentences = call::left attribute::left re . split attribute::right argument_list::left ( string::left r' [.?!]\s* ' string::right , S ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return call::left sum generator_expression::left ( comparison_operator::left subscript::left sentence [ slice::left 0 : 2 slice::right ] subscript::right == string::left ' I  ' string::right comparison_operator::right for_in_clause::left for sentence in sentences for_in_clause::right ) generator_expression::right call::right return_statement::right block::right function_definition::right module::right",human
8,"def file_name_check(file_name):

    # Split the file name into two parts: the substring before the dot and the substring after the dot.

    file_name_parts = file_name.split('.')

    # Check if the file's name has a valid number of digits.

    if len([char for char in file_name if char.isdigit()]) > 3:
        return 'No'

    # Check if the file's name contains exactly one dot.

    if len(file_name_parts) != 2:
        return 'No'

    # Check if the substring before the dot is not empty and starts with a latin alphapet letter.

    if not file_name_parts[0] or not file_name_parts[0][0].isalpha():
        return 'No'

    # Check if the substring after the dot is one of these: ['txt', 'exe', 'dll'].

    if file_name_parts[1] not in ['txt', 'exe', 'dll']:
        return 'No'

    # If all the conditions are met, return 'Yes'.

    return 'Yes'","module::left function_definition::left def file_name_check parameters::left ( file_name ) parameters::right : # Split the file name into two parts: the substring before the dot and the substring after the dot. block::left expression_statement::left assignment::left file_name_parts = call::left attribute::left file_name . split attribute::right argument_list::left ( string::left ' . ' string::right ) argument_list::right call::right assignment::right expression_statement::right # Check if the file's name has a valid number of digits. if_statement::left if comparison_operator::left call::left len argument_list::left ( list_comprehension::left [ char for_in_clause::left for char in file_name for_in_clause::right if_clause::left if call::left attribute::left char . isdigit attribute::right argument_list::left ( ) argument_list::right call::right if_clause::right ] list_comprehension::right ) argument_list::right call::right > 3 comparison_operator::right : block::left return_statement::left return string::left ' No ' string::right return_statement::right block::right if_statement::right # Check if the file's name contains exactly one dot. if_statement::left if comparison_operator::left call::left len argument_list::left ( file_name_parts ) argument_list::right call::right != 2 comparison_operator::right : block::left return_statement::left return string::left ' No ' string::right return_statement::right block::right if_statement::right # Check if the substring before the dot is not empty and starts with a latin alphapet letter. if_statement::left if boolean_operator::left not_operator::left not subscript::left file_name_parts [ 0 ] subscript::right not_operator::right or not_operator::left not call::left attribute::left subscript::left subscript::left file_name_parts [ 0 ] subscript::right [ 0 ] subscript::right . isalpha attribute::right argument_list::left ( ) argument_list::right call::right not_operator::right boolean_operator::right : block::left return_statement::left return string::left ' No ' string::right return_statement::right block::right if_statement::right # Check if the substring after the dot is one of these: ['txt', 'exe', 'dll']. if_statement::left if comparison_operator::left subscript::left file_name_parts [ 1 ] subscript::right not in list::left [ string::left ' txt ' string::right , string::left ' exe ' string::right , string::left ' dll ' string::right ] list::right comparison_operator::right : block::left return_statement::left return string::left ' No ' string::right return_statement::right block::right if_statement::right # If all the conditions are met, return 'Yes'. return_statement::left return string::left ' Yes ' string::right return_statement::right block::right function_definition::right module::right",lm
9,"def unique_digits(x):
    ret = []
    for i in x:
      flag = True
      for ch in str(i):
        num = int(ch)
        if(num % 2 == 0):
          flag = False
          break
      if(flag):
        ret.append(i)

    ret.sort()
    return ret",module::left function_definition::left def unique_digits parameters::left ( x ) parameters::right : block::left expression_statement::left assignment::left ret = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for i in x : block::left expression_statement::left assignment::left flag = True assignment::right expression_statement::right for_statement::left for ch in call::left str argument_list::left ( i ) argument_list::right call::right : block::left expression_statement::left assignment::left num = call::left int argument_list::left ( ch ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if parenthesized_expression::left ( comparison_operator::left binary_operator::left num % 2 binary_operator::right == 0 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left flag = False assignment::right expression_statement::right break_statement::left break break_statement::right block::right if_statement::right block::right for_statement::right if_statement::left if parenthesized_expression::left ( flag ) parenthesized_expression::right : block::left expression_statement::left call::left attribute::left ret . append attribute::right argument_list::left ( i ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right expression_statement::left call::left attribute::left ret . sort attribute::right argument_list::left ( ) argument_list::right call::right expression_statement::right return_statement::left return ret return_statement::right block::right function_definition::right module::right,lm
