idx,code,ast,label
0,"import java.util.*;
import java.lang.*;

class Solution {
    public boolean primeLength(String string) {
        int l = string.length();
        if (l == 0 || l == 1) {
            return false;
        }
        for (int i = 2; i < l; i++) {
            if (l % i == 0) {
                return false;
            }
        }
        return true;
    }
}",program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right boolean primeLength formal_parameters::left ( formal_parameter::left String string formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left l = method_invocation::left string . length argument_list::left ( ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left binary_expression::left l == 0 binary_expression::right || binary_expression::left l == 1 binary_expression::right binary_expression::right ) condition::right block::left { return_statement::left return false ; return_statement::right } block::right if_statement::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left i = 2 variable_declarator::right ; local_variable_declaration::right binary_expression::left i < l binary_expression::right ; update_expression::left i ++ update_expression::right ) block::left { if_statement::left if condition::left ( binary_expression::left binary_expression::left l % i binary_expression::right == 0 binary_expression::right ) condition::right block::left { return_statement::left return false ; return_statement::right } block::right if_statement::right } block::right for_statement::right return_statement::left return true ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right,human
1,"import java.util.*;
import java.lang.*;

class Solution {
    public List<Optional<Integer>> largestSmallestIntegers(List<Integer> lst){
        List<Integer> smallest = lst.stream().filter(p -> p < 0).toList();
        List<Integer> largest = lst.stream().filter(p -> p > 0).toList();
        Optional<Integer> s = Optional.empty();
        if (smallest.size() > 0) {
            s = Optional.of(Collections.max(smallest));
        }
        Optional<Integer> l = Optional.empty();
        if (largest.size() > 0) {
            l = Optional.of(Collections.min(largest));
        }
        return Arrays.asList(s, l);
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right generic_type::left List type_arguments::left < generic_type::left Optional type_arguments::left < Integer > type_arguments::right generic_type::right > type_arguments::right generic_type::right largestSmallestIntegers formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right lst formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left smallest = method_invocation::left method_invocation::left method_invocation::left lst . stream argument_list::left ( ) argument_list::right method_invocation::right . filter argument_list::left ( lambda_expression::left p -> binary_expression::left p < 0 binary_expression::right lambda_expression::right ) argument_list::right method_invocation::right . toList argument_list::left ( ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right local_variable_declaration::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left largest = method_invocation::left method_invocation::left method_invocation::left lst . stream argument_list::left ( ) argument_list::right method_invocation::right . filter argument_list::left ( lambda_expression::left p -> binary_expression::left p > 0 binary_expression::right lambda_expression::right ) argument_list::right method_invocation::right . toList argument_list::left ( ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right local_variable_declaration::left generic_type::left Optional type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left s = method_invocation::left Optional . empty argument_list::left ( ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left method_invocation::left smallest . size argument_list::left ( ) argument_list::right method_invocation::right > 0 binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left s = method_invocation::left Optional . of argument_list::left ( method_invocation::left Collections . max argument_list::left ( smallest ) argument_list::right method_invocation::right ) argument_list::right method_invocation::right assignment_expression::right ; expression_statement::right } block::right if_statement::right local_variable_declaration::left generic_type::left Optional type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left l = method_invocation::left Optional . empty argument_list::left ( ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left method_invocation::left largest . size argument_list::left ( ) argument_list::right method_invocation::right > 0 binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left l = method_invocation::left Optional . of argument_list::left ( method_invocation::left Collections . min argument_list::left ( largest ) argument_list::right method_invocation::right ) argument_list::right method_invocation::right assignment_expression::right ; expression_statement::right } block::right if_statement::right return_statement::left return method_invocation::left Arrays . asList argument_list::left ( s , l ) argument_list::right method_invocation::right ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",human
2,"import java.util.*;
import java.lang.*;

class Solution {
    public List<Double> rescaleToUnit(List<Double> numbers) {
        double min_number = Collections.min(numbers);
        double max_number = Collections.max(numbers);
        List<Double> result = new ArrayList<>();
        for (double x : numbers) {
            result.add((x - min_number) / (max_number - min_number));
        }
        return result;
    }
}",program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right generic_type::left List type_arguments::left < Double > type_arguments::right generic_type::right rescaleToUnit formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Double > type_arguments::right generic_type::right numbers formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left floating_point_type::left double floating_point_type::right variable_declarator::left min_number = method_invocation::left Collections . min argument_list::left ( numbers ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right local_variable_declaration::left floating_point_type::left double floating_point_type::right variable_declarator::left max_number = method_invocation::left Collections . max argument_list::left ( numbers ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right local_variable_declaration::left generic_type::left List type_arguments::left < Double > type_arguments::right generic_type::right variable_declarator::left result = object_creation_expression::left new generic_type::left ArrayList type_arguments::left < > type_arguments::right generic_type::right argument_list::left ( ) argument_list::right object_creation_expression::right variable_declarator::right ; local_variable_declaration::right enhanced_for_statement::left for ( floating_point_type::left double floating_point_type::right x : numbers ) block::left { expression_statement::left method_invocation::left result . add argument_list::left ( binary_expression::left parenthesized_expression::left ( binary_expression::left x - min_number binary_expression::right ) parenthesized_expression::right / parenthesized_expression::left ( binary_expression::left max_number - min_number binary_expression::right ) parenthesized_expression::right binary_expression::right ) argument_list::right method_invocation::right ; expression_statement::right } block::right enhanced_for_statement::right return_statement::left return result ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right,human
3,"import java.util.List;

class Solution {
    public String StrongestExtension(String class_name, List<String> extensions) {
        String strongestExtension = """";
        int maxStrength = Integer.MIN_VALUE;
        
        for (String extension : extensions) {
            int capCount = 0;
            int smallCount = 0;
            
            for (char c : extension.toCharArray()) {
                if (Character.isUpperCase(c)) {
                    capCount++;
                } else if (Character.isLowerCase(c)) {
                    smallCount++;
                }
            }
            
            int strength = capCount - smallCount;
            
            if (strength > maxStrength) {
                maxStrength = strength;
                strongestExtension = extension;
            }
        }
        
        return class_name + ""."" + strongestExtension;
    }
}","program::left import_declaration::left import scoped_identifier::left scoped_identifier::left java . util scoped_identifier::right . List scoped_identifier::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right String StrongestExtension formal_parameters::left ( formal_parameter::left String class_name formal_parameter::right , formal_parameter::left generic_type::left List type_arguments::left < String > type_arguments::right generic_type::right extensions formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left String variable_declarator::left strongestExtension = """" variable_declarator::right ; local_variable_declaration::right local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left maxStrength = field_access::left Integer . MIN_VALUE field_access::right variable_declarator::right ; local_variable_declaration::right enhanced_for_statement::left for ( String extension : extensions ) block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left capCount = 0 variable_declarator::right ; local_variable_declaration::right local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left smallCount = 0 variable_declarator::right ; local_variable_declaration::right enhanced_for_statement::left for ( integral_type::left char integral_type::right c : method_invocation::left extension . toCharArray argument_list::left ( ) argument_list::right method_invocation::right ) block::left { if_statement::left if condition::left ( method_invocation::left Character . isUpperCase argument_list::left ( c ) argument_list::right method_invocation::right ) condition::right block::left { expression_statement::left update_expression::left capCount ++ update_expression::right ; expression_statement::right } block::right else if_statement::left if condition::left ( method_invocation::left Character . isLowerCase argument_list::left ( c ) argument_list::right method_invocation::right ) condition::right block::left { expression_statement::left update_expression::left smallCount ++ update_expression::right ; expression_statement::right } block::right if_statement::right if_statement::right } block::right enhanced_for_statement::right local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left strength = binary_expression::left capCount - smallCount binary_expression::right variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left strength > maxStrength binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left maxStrength = strength assignment_expression::right ; expression_statement::right expression_statement::left assignment_expression::left strongestExtension = extension assignment_expression::right ; expression_statement::right } block::right if_statement::right } block::right enhanced_for_statement::right return_statement::left return binary_expression::left binary_expression::left class_name + ""."" binary_expression::right + strongestExtension binary_expression::right ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",lm
4,"import java.util.*;
import java.lang.*;

class Solution {
    public List<Integer> sortEven(List<Integer> l) {
        List<Integer> even = new ArrayList<>();
        for (int i = 0; i < l.size(); i += 2) {
            even.add(l.get(i));
        }
        Collections.sort(even);
        List<Integer> result = l;
        for (int i = 0; i < l.size(); i += 2) {
            result.set(i, even.get(i / 2));
        }
        return result;
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right sortEven formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right l formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left even = object_creation_expression::left new generic_type::left ArrayList type_arguments::left < > type_arguments::right generic_type::right argument_list::left ( ) argument_list::right object_creation_expression::right variable_declarator::right ; local_variable_declaration::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left i = 0 variable_declarator::right ; local_variable_declaration::right binary_expression::left i < method_invocation::left l . size argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ; assignment_expression::left i += 2 assignment_expression::right ) block::left { expression_statement::left method_invocation::left even . add argument_list::left ( method_invocation::left l . get argument_list::left ( i ) argument_list::right method_invocation::right ) argument_list::right method_invocation::right ; expression_statement::right } block::right for_statement::right expression_statement::left method_invocation::left Collections . sort argument_list::left ( even ) argument_list::right method_invocation::right ; expression_statement::right local_variable_declaration::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left result = l variable_declarator::right ; local_variable_declaration::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left i = 0 variable_declarator::right ; local_variable_declaration::right binary_expression::left i < method_invocation::left l . size argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ; assignment_expression::left i += 2 assignment_expression::right ) block::left { expression_statement::left method_invocation::left result . set argument_list::left ( i , method_invocation::left even . get argument_list::left ( binary_expression::left i / 2 binary_expression::right ) argument_list::right method_invocation::right ) argument_list::right method_invocation::right ; expression_statement::right } block::right for_statement::right return_statement::left return result ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",human
5,"import java.util.*;
import java.lang.*;

class Solution {
    /**
    Write a function vowelsCount which takes a string representing
    a word as input and returns the number of vowels in the string.
    Vowels in this case are 'a', 'e', 'i', 'o', 'u'. Here, 'y' is also a
    vowel, but only when it is at the end of the given word.

    Example:
    >>> vowelsCount(""abcde"")
    2
    >>> vowelsCount(""ACEDY"")
    3
     */
    public int vowelsCount(String s) {
        int count = 0;
        for (int i = 0; i < s.length(); i++) {
            char c = s.charAt(i);
            if (Character.toLowerCase(c) == 'a' || Character.toLowerCase(c) == 'e' ||
                    Character.toLowerCase(c) == 'i' || Character.toLowerCase(c) == 'o' ||
                    (Character.toLowerCase(c) == 'u' && i == s.length() - 1)) {
                count++;
            }
        }
        return count;
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { /**
    Write a function vowelsCount which takes a string representing
    a word as input and returns the number of vowels in the string.
    Vowels in this case are 'a', 'e', 'i', 'o', 'u'. Here, 'y' is also a
    vowel, but only when it is at the end of the given word.

    Example:
    >>> vowelsCount(""abcde"")
    2
    >>> vowelsCount(""ACEDY"")
    3
     */ method_declaration::left modifiers::left public modifiers::right integral_type::left int integral_type::right vowelsCount formal_parameters::left ( formal_parameter::left String s formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left count = 0 variable_declarator::right ; local_variable_declaration::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left i = 0 variable_declarator::right ; local_variable_declaration::right binary_expression::left i < method_invocation::left s . length argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ; update_expression::left i ++ update_expression::right ) block::left { local_variable_declaration::left integral_type::left char integral_type::right variable_declarator::left c = method_invocation::left s . charAt argument_list::left ( i ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left binary_expression::left binary_expression::left binary_expression::left binary_expression::left method_invocation::left Character . toLowerCase argument_list::left ( c ) argument_list::right method_invocation::right == 'a' binary_expression::right || binary_expression::left method_invocation::left Character . toLowerCase argument_list::left ( c ) argument_list::right method_invocation::right == 'e' binary_expression::right binary_expression::right || binary_expression::left method_invocation::left Character . toLowerCase argument_list::left ( c ) argument_list::right method_invocation::right == 'i' binary_expression::right binary_expression::right || binary_expression::left method_invocation::left Character . toLowerCase argument_list::left ( c ) argument_list::right method_invocation::right == 'o' binary_expression::right binary_expression::right || parenthesized_expression::left ( binary_expression::left binary_expression::left method_invocation::left Character . toLowerCase argument_list::left ( c ) argument_list::right method_invocation::right == 'u' binary_expression::right && binary_expression::left i == binary_expression::left method_invocation::left s . length argument_list::left ( ) argument_list::right method_invocation::right - 1 binary_expression::right binary_expression::right binary_expression::right ) parenthesized_expression::right binary_expression::right ) condition::right block::left { expression_statement::left update_expression::left count ++ update_expression::right ; expression_statement::right } block::right if_statement::right } block::right for_statement::right return_statement::left return count ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",lm
6,"import java.util.*;
import java.lang.*;

class Solution {
    public int xOrY(int n, int x, int y) {
        if (n == 1) {
            return y;
        }
        for (int i = 2; i < n; i++) {
            if (n % i == 0) {
                return y;
            }
        }
        return x;
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right integral_type::left int integral_type::right xOrY formal_parameters::left ( formal_parameter::left integral_type::left int integral_type::right n formal_parameter::right , formal_parameter::left integral_type::left int integral_type::right x formal_parameter::right , formal_parameter::left integral_type::left int integral_type::right y formal_parameter::right ) formal_parameters::right block::left { if_statement::left if condition::left ( binary_expression::left n == 1 binary_expression::right ) condition::right block::left { return_statement::left return y ; return_statement::right } block::right if_statement::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left i = 2 variable_declarator::right ; local_variable_declaration::right binary_expression::left i < n binary_expression::right ; update_expression::left i ++ update_expression::right ) block::left { if_statement::left if condition::left ( binary_expression::left binary_expression::left n % i binary_expression::right == 0 binary_expression::right ) condition::right block::left { return_statement::left return y ; return_statement::right } block::right if_statement::right } block::right for_statement::right return_statement::left return x ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",human
7,"import java.util.*;
import java.lang.*;

class Solution {
    public int countNums(List<Integer> arr) {
        int count = 0;
        for (int n: arr) {
            int neg = 1;
            if (n < 0) {
                n = -n;
                neg = -1;
            }
            List<Integer> digits = new ArrayList<>();
            for (char digit : String.valueOf(n).toCharArray()) {
                digits.add(digit - '0');
            }
            digits.set(0, digits.get(0) * neg);
            if (digits.stream().reduce(0, Integer::sum) > 0) {
                count += 1;
            }
        }
        return count;
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right integral_type::left int integral_type::right countNums formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right arr formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left count = 0 variable_declarator::right ; local_variable_declaration::right enhanced_for_statement::left for ( integral_type::left int integral_type::right n : arr ) block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left neg = 1 variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left n < 0 binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left n = unary_expression::left - n unary_expression::right assignment_expression::right ; expression_statement::right expression_statement::left assignment_expression::left neg = unary_expression::left - 1 unary_expression::right assignment_expression::right ; expression_statement::right } block::right if_statement::right local_variable_declaration::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left digits = object_creation_expression::left new generic_type::left ArrayList type_arguments::left < > type_arguments::right generic_type::right argument_list::left ( ) argument_list::right object_creation_expression::right variable_declarator::right ; local_variable_declaration::right enhanced_for_statement::left for ( integral_type::left char integral_type::right digit : method_invocation::left method_invocation::left String . valueOf argument_list::left ( n ) argument_list::right method_invocation::right . toCharArray argument_list::left ( ) argument_list::right method_invocation::right ) block::left { expression_statement::left method_invocation::left digits . add argument_list::left ( binary_expression::left digit - '0' binary_expression::right ) argument_list::right method_invocation::right ; expression_statement::right } block::right enhanced_for_statement::right expression_statement::left method_invocation::left digits . set argument_list::left ( 0 , binary_expression::left method_invocation::left digits . get argument_list::left ( 0 ) argument_list::right method_invocation::right * neg binary_expression::right ) argument_list::right method_invocation::right ; expression_statement::right if_statement::left if condition::left ( binary_expression::left method_invocation::left method_invocation::left digits . stream argument_list::left ( ) argument_list::right method_invocation::right . reduce argument_list::left ( 0 , method_reference::left Integer :: sum method_reference::right ) argument_list::right method_invocation::right > 0 binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left count += 1 assignment_expression::right ; expression_statement::right } block::right if_statement::right } block::right enhanced_for_statement::right return_statement::left return count ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",human
8,"import java.util.*;
import java.lang.*;

class Solution {
    /**
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n
     */
    public double poly(List<Double> xs, double x) {
        double result = 0;
        for (int i = 0; i < xs.size(); i++) {
            result += xs.get(i) * Math.pow(x, i);
        }
        return result;
    }
    
    public double findZero(List<Double> xs) {
        double begin = -1, end = 1;
        while (poly(xs, begin) * poly(xs, end) > 0) {
            begin *= 2;
            end *= 2;
        }
        while (end - begin > 1e-10) {
            double center = (begin + end) / 2;
            if (poly(xs, begin) * poly(xs, center) > 0) {
                begin = center;
            } else {
                end = center;
            }
        }
        return begin;
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { /**
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n
     */ method_declaration::left modifiers::left public modifiers::right floating_point_type::left double floating_point_type::right poly formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Double > type_arguments::right generic_type::right xs formal_parameter::right , formal_parameter::left floating_point_type::left double floating_point_type::right x formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left floating_point_type::left double floating_point_type::right variable_declarator::left result = 0 variable_declarator::right ; local_variable_declaration::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left i = 0 variable_declarator::right ; local_variable_declaration::right binary_expression::left i < method_invocation::left xs . size argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ; update_expression::left i ++ update_expression::right ) block::left { expression_statement::left assignment_expression::left result += binary_expression::left method_invocation::left xs . get argument_list::left ( i ) argument_list::right method_invocation::right * method_invocation::left Math . pow argument_list::left ( x , i ) argument_list::right method_invocation::right binary_expression::right assignment_expression::right ; expression_statement::right } block::right for_statement::right return_statement::left return result ; return_statement::right } block::right method_declaration::right method_declaration::left modifiers::left public modifiers::right floating_point_type::left double floating_point_type::right findZero formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Double > type_arguments::right generic_type::right xs formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left floating_point_type::left double floating_point_type::right variable_declarator::left begin = unary_expression::left - 1 unary_expression::right variable_declarator::right , variable_declarator::left end = 1 variable_declarator::right ; local_variable_declaration::right while_statement::left while condition::left ( binary_expression::left binary_expression::left method_invocation::left poly argument_list::left ( xs , begin ) argument_list::right method_invocation::right * method_invocation::left poly argument_list::left ( xs , end ) argument_list::right method_invocation::right binary_expression::right > 0 binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left begin *= 2 assignment_expression::right ; expression_statement::right expression_statement::left assignment_expression::left end *= 2 assignment_expression::right ; expression_statement::right } block::right while_statement::right while_statement::left while condition::left ( binary_expression::left binary_expression::left end - begin binary_expression::right > 1e-10 binary_expression::right ) condition::right block::left { local_variable_declaration::left floating_point_type::left double floating_point_type::right variable_declarator::left center = binary_expression::left parenthesized_expression::left ( binary_expression::left begin + end binary_expression::right ) parenthesized_expression::right / 2 binary_expression::right variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left binary_expression::left method_invocation::left poly argument_list::left ( xs , begin ) argument_list::right method_invocation::right * method_invocation::left poly argument_list::left ( xs , center ) argument_list::right method_invocation::right binary_expression::right > 0 binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left begin = center assignment_expression::right ; expression_statement::right } block::right else block::left { expression_statement::left assignment_expression::left end = center assignment_expression::right ; expression_statement::right } block::right if_statement::right } block::right while_statement::right return_statement::left return begin ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",human
9,"import java.util.*;
import java.lang.*;

class Solution {
    public int largestPrimeFactor(int n) {
        int largest = 1;
        for (int j = 2; j <= n; j++) {
            if (n % j == 0) {
                boolean is_prime = j >= 2;
                for (int i = 2; i < j - 1; i++) {
                    if (j % i == 0) {
                        is_prime = false;
                        break;
                    }
                }
                if (is_prime) {
                    largest = Math.max(largest, j);
                }
            }
        }
        return largest;
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right integral_type::left int integral_type::right largestPrimeFactor formal_parameters::left ( formal_parameter::left integral_type::left int integral_type::right n formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left largest = 1 variable_declarator::right ; local_variable_declaration::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left j = 2 variable_declarator::right ; local_variable_declaration::right binary_expression::left j <= n binary_expression::right ; update_expression::left j ++ update_expression::right ) block::left { if_statement::left if condition::left ( binary_expression::left binary_expression::left n % j binary_expression::right == 0 binary_expression::right ) condition::right block::left { local_variable_declaration::left boolean variable_declarator::left is_prime = binary_expression::left j >= 2 binary_expression::right variable_declarator::right ; local_variable_declaration::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left i = 2 variable_declarator::right ; local_variable_declaration::right binary_expression::left i < binary_expression::left j - 1 binary_expression::right binary_expression::right ; update_expression::left i ++ update_expression::right ) block::left { if_statement::left if condition::left ( binary_expression::left binary_expression::left j % i binary_expression::right == 0 binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left is_prime = false assignment_expression::right ; expression_statement::right break_statement::left break ; break_statement::right } block::right if_statement::right } block::right for_statement::right if_statement::left if condition::left ( is_prime ) condition::right block::left { expression_statement::left assignment_expression::left largest = method_invocation::left Math . max argument_list::left ( largest , j ) argument_list::right method_invocation::right assignment_expression::right ; expression_statement::right } block::right if_statement::right } block::right if_statement::right } block::right for_statement::right return_statement::left return largest ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",human
