idx,code,ast,label
0,"def is_num_keith(x): 
	terms = [] 
	temp = x 
	n = 0 
	while (temp > 0): 
		terms.append(temp % 10) 
		temp = int(temp / 10) 
		n+=1 
	terms.reverse() 
	next_term = 0 
	i = n 
	while (next_term < x): 
		next_term = 0 
		for j in range(1,n+1): 
			next_term += terms[i - j] 
		terms.append(next_term) 
		i+=1 
	return (next_term == x) ","module::left function_definition::left def is_num_keith parameters::left ( x ) parameters::right : block::left expression_statement::left assignment::left terms = list::left [ ] list::right assignment::right expression_statement::right expression_statement::left assignment::left temp = x assignment::right expression_statement::right expression_statement::left assignment::left n = 0 assignment::right expression_statement::right while_statement::left while parenthesized_expression::left ( comparison_operator::left temp > 0 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left call::left attribute::left terms . append attribute::right argument_list::left ( binary_operator::left temp % 10 binary_operator::right ) argument_list::right call::right expression_statement::right expression_statement::left assignment::left temp = call::left int argument_list::left ( binary_operator::left temp / 10 binary_operator::right ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left augmented_assignment::left n += 1 augmented_assignment::right expression_statement::right block::right while_statement::right expression_statement::left call::left attribute::left terms . reverse attribute::right argument_list::left ( ) argument_list::right call::right expression_statement::right expression_statement::left assignment::left next_term = 0 assignment::right expression_statement::right expression_statement::left assignment::left i = n assignment::right expression_statement::right while_statement::left while parenthesized_expression::left ( comparison_operator::left next_term < x comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left next_term = 0 assignment::right expression_statement::right for_statement::left for j in call::left range argument_list::left ( 1 , binary_operator::left n + 1 binary_operator::right ) argument_list::right call::right : block::left expression_statement::left augmented_assignment::left next_term += subscript::left terms [ binary_operator::left i - j binary_operator::right ] subscript::right augmented_assignment::right expression_statement::right block::right for_statement::right expression_statement::left call::left attribute::left terms . append attribute::right argument_list::left ( next_term ) argument_list::right call::right expression_statement::right expression_statement::left augmented_assignment::left i += 1 augmented_assignment::right expression_statement::right block::right while_statement::right return_statement::left return parenthesized_expression::left ( comparison_operator::left next_term == x comparison_operator::right ) parenthesized_expression::right return_statement::right block::right function_definition::right module::right",human
1,"import re

def validate_ip_address(ip_address):
    pattern = r""^(?:[0-9]{1,3}\.){3}[0-9]{1,3}$""
    if re.match(pattern, ip_address):
        return True
    else:
        return False","module::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right function_definition::left def validate_ip_address parameters::left ( ip_address ) parameters::right : block::left expression_statement::left assignment::left pattern = string::left r"" ^(?:[0-9]{1,3}\.){3}[0-9]{1,3}$ "" string::right assignment::right expression_statement::right if_statement::left if call::left attribute::left re . match attribute::right argument_list::left ( pattern , ip_address ) argument_list::right call::right : block::left return_statement::left return True return_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",lm
2,"def modular_inverse(arr, N, P):
	current_element = 0
	for i in range(0, N):
		if ((arr[i] * arr[i]) % P == 1):
			current_element = current_element + 1
	return current_element","module::left function_definition::left def modular_inverse parameters::left ( arr , N , P ) parameters::right : block::left expression_statement::left assignment::left current_element = 0 assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( 0 , N ) argument_list::right call::right : block::left if_statement::left if parenthesized_expression::left ( comparison_operator::left binary_operator::left parenthesized_expression::left ( binary_operator::left subscript::left arr [ i ] subscript::right * subscript::left arr [ i ] subscript::right binary_operator::right ) parenthesized_expression::right % P binary_operator::right == 1 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left current_element = binary_operator::left current_element + 1 binary_operator::right assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return current_element return_statement::right block::right function_definition::right module::right",human
3,"def find_lcm(arr):
    if len(arr) == 0:
        return None
    
    lcm = arr[0]
    for i in range(1, len(arr)):
        num1 = lcm
        num2 = arr[i]
        while True:
            if num1 % num2 == 0:
                lcm = num1
                break
            num1 += lcm
    
    return lcm","module::left function_definition::left def find_lcm parameters::left ( arr ) parameters::right : block::left if_statement::left if comparison_operator::left call::left len argument_list::left ( arr ) argument_list::right call::right == 0 comparison_operator::right : block::left return_statement::left return None return_statement::right block::right if_statement::right expression_statement::left assignment::left lcm = subscript::left arr [ 0 ] subscript::right assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( 1 , call::left len argument_list::left ( arr ) argument_list::right call::right ) argument_list::right call::right : block::left expression_statement::left assignment::left num1 = lcm assignment::right expression_statement::right expression_statement::left assignment::left num2 = subscript::left arr [ i ] subscript::right assignment::right expression_statement::right while_statement::left while True : block::left if_statement::left if comparison_operator::left binary_operator::left num1 % num2 binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left assignment::left lcm = num1 assignment::right expression_statement::right break_statement::left break break_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left num1 += lcm augmented_assignment::right expression_statement::right block::right while_statement::right block::right for_statement::right return_statement::left return lcm return_statement::right block::right function_definition::right module::right",lm
4,"def left_rotate_bits(number, rotations):
    return (number << rotations) | (number >> (32 - rotations))","module::left function_definition::left def left_rotate_bits parameters::left ( number , rotations ) parameters::right : block::left return_statement::left return binary_operator::left parenthesized_expression::left ( binary_operator::left number << rotations binary_operator::right ) parenthesized_expression::right | parenthesized_expression::left ( binary_operator::left number >> parenthesized_expression::left ( binary_operator::left 32 - rotations binary_operator::right ) parenthesized_expression::right binary_operator::right ) parenthesized_expression::right binary_operator::right return_statement::right block::right function_definition::right module::right",lm
5,"def Split(list): 
    ev_li = [] 
    for i in list: 
        if (i % 2 == 0): 
            ev_li.append(i)  
    return ev_li",module::left function_definition::left def Split parameters::left ( list ) parameters::right : block::left expression_statement::left assignment::left ev_li = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for i in list : block::left if_statement::left if parenthesized_expression::left ( comparison_operator::left binary_operator::left i % 2 binary_operator::right == 0 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left call::left attribute::left ev_li . append attribute::right argument_list::left ( i ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return ev_li return_statement::right block::right function_definition::right module::right,human
6,"def find_pairs(arr, target):
    pairs = []
    for i in range(len(arr)):
        for j in range(i + 1, len(arr)):
            if arr[i] + arr[j] == target:
                pairs.append((arr[i], arr[j]))
    return pairs","module::left function_definition::left def find_pairs parameters::left ( arr , target ) parameters::right : block::left expression_statement::left assignment::left pairs = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( call::left len argument_list::left ( arr ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for j in call::left range argument_list::left ( binary_operator::left i + 1 binary_operator::right , call::left len argument_list::left ( arr ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left subscript::left arr [ i ] subscript::right + subscript::left arr [ j ] subscript::right binary_operator::right == target comparison_operator::right : block::left expression_statement::left call::left attribute::left pairs . append attribute::right argument_list::left ( tuple::left ( subscript::left arr [ i ] subscript::right , subscript::left arr [ j ] subscript::right ) tuple::right ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return pairs return_statement::right block::right function_definition::right module::right",lm
7,"def camel_to_snake(camel_case_string):
    snake_case_string = ''
    for index, char in enumerate(camel_case_string):
        if char.isupper():
            if index != 0:
                snake_case_string += '_'
            snake_case_string += char.lower()
        else:
            snake_case_string += char
    return snake_case_string","module::left function_definition::left def camel_to_snake parameters::left ( camel_case_string ) parameters::right : block::left expression_statement::left assignment::left snake_case_string = string::left ' ' string::right assignment::right expression_statement::right for_statement::left for pattern_list::left index , char pattern_list::right in call::left enumerate argument_list::left ( camel_case_string ) argument_list::right call::right : block::left if_statement::left if call::left attribute::left char . isupper attribute::right argument_list::left ( ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left index != 0 comparison_operator::right : block::left expression_statement::left augmented_assignment::left snake_case_string += string::left ' _ ' string::right augmented_assignment::right expression_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left snake_case_string += call::left attribute::left char . lower attribute::right argument_list::left ( ) argument_list::right call::right augmented_assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left augmented_assignment::left snake_case_string += char augmented_assignment::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return snake_case_string return_statement::right block::right function_definition::right module::right",lm
8,"def minimum_total(triangle):
    if not triangle:
        return 0

    dp = triangle[-1]
    for i in range(len(triangle) - 2, -1, -1):
        for j in range(len(triangle[i])):
            dp[j] = triangle[i][j] + min(dp[j], dp[j + 1])

    return dp[0]","module::left function_definition::left def minimum_total parameters::left ( triangle ) parameters::right : block::left if_statement::left if not_operator::left not triangle not_operator::right : block::left return_statement::left return 0 return_statement::right block::right if_statement::right expression_statement::left assignment::left dp = subscript::left triangle [ unary_operator::left - 1 unary_operator::right ] subscript::right assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( binary_operator::left call::left len argument_list::left ( triangle ) argument_list::right call::right - 2 binary_operator::right , unary_operator::left - 1 unary_operator::right , unary_operator::left - 1 unary_operator::right ) argument_list::right call::right : block::left for_statement::left for j in call::left range argument_list::left ( call::left len argument_list::left ( subscript::left triangle [ i ] subscript::right ) argument_list::right call::right ) argument_list::right call::right : block::left expression_statement::left assignment::left subscript::left dp [ j ] subscript::right = binary_operator::left subscript::left subscript::left triangle [ i ] subscript::right [ j ] subscript::right + call::left min argument_list::left ( subscript::left dp [ j ] subscript::right , subscript::left dp [ binary_operator::left j + 1 binary_operator::right ] subscript::right ) argument_list::right call::right binary_operator::right assignment::right expression_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return subscript::left dp [ 0 ] subscript::right return_statement::right block::right function_definition::right module::right",lm
9,"def is_even(number):
    if number % 2 == 0:
        return True
    else:
        return False",module::left function_definition::left def is_even parameters::left ( number ) parameters::right : block::left if_statement::left if comparison_operator::left binary_operator::left number % 2 binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return True return_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right,lm
