idx,code,new_code,ast,label
0,"def largest_divisor(n: int) -> int:
    for i in reversed(range(n)):
        if n % i == 0:
            return i
","def largest_divisor(var_1: int) -> int:
    for var_2 in reversed(range(var_1)):
        if var_1 % var_2 == 0:
            return var_2
",module::left function_definition::left def largest_divisor parameters::left ( typed_parameter::left var_1 : type::left int type::right typed_parameter::right ) parameters::right -> type::left int type::right : block::left for_statement::left for var_2 in call::left reversed argument_list::left ( call::left range argument_list::left ( var_1 ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left var_1 % var_2 binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return var_2 return_statement::right block::right if_statement::right block::right for_statement::right block::right function_definition::right module::right,human
1,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","from typing import List


def intersperse(var_1: List[int], var_2: int) -> List[int]:
    if not var_1:
        return []

    var_3 = []

    for var_4 in var_1[:-1]:
        var_3.append(var_4)
        var_3.append(var_2)

    var_3.append(var_1[-1])

    return var_3
","module::left import_from_statement::left from dotted_name::left typing dotted_name::right import dotted_name::left List dotted_name::right import_from_statement::right function_definition::left def intersperse parameters::left ( typed_parameter::left var_1 : type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right typed_parameter::right , typed_parameter::left var_2 : type::left int type::right typed_parameter::right ) parameters::right -> type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right : block::left if_statement::left if not_operator::left not var_1 not_operator::right : block::left return_statement::left return list::left [ ] list::right return_statement::right block::right if_statement::right expression_statement::left assignment::left var_3 = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for var_4 in subscript::left var_1 [ slice::left : unary_operator::left - 1 unary_operator::right slice::right ] subscript::right : block::left expression_statement::left call::left attribute::left var_3 . append attribute::right argument_list::left ( var_4 ) argument_list::right call::right expression_statement::right expression_statement::left call::left attribute::left var_3 . append attribute::right argument_list::left ( var_2 ) argument_list::right call::right expression_statement::right block::right for_statement::right expression_statement::left call::left attribute::left var_3 . append attribute::right argument_list::left ( subscript::left var_1 [ unary_operator::left - 1 unary_operator::right ] subscript::right ) argument_list::right call::right expression_statement::right return_statement::left return var_3 return_statement::right block::right function_definition::right module::right",human
2,"def x_or_y(n, x, y):
    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x
","def x_or_y(var_1, var_2, var_3):
    if var_1 == 1:
        return var_3
    for var_4 in range(2, var_1):
        if var_1 % var_4 == 0:
            return var_3
            break
    else:
        return var_2
","module::left function_definition::left def x_or_y parameters::left ( var_1 , var_2 , var_3 ) parameters::right : block::left if_statement::left if comparison_operator::left var_1 == 1 comparison_operator::right : block::left return_statement::left return var_3 return_statement::right block::right if_statement::right for_statement::left for var_4 in call::left range argument_list::left ( 2 , var_1 ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left var_1 % var_4 binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return var_3 return_statement::right break_statement::left break break_statement::right block::right if_statement::right block::right else_clause::left else : block::left return_statement::left return var_2 return_statement::right block::right else_clause::right for_statement::right block::right function_definition::right module::right",human
3,"def will_it_fly(q, w):
    return q == q[::-1] and sum(q) <= w","def will_it_fly(var_1, var_2):
    return var_1 == var_1[::-1] and sum(var_1) <= var_2","module::left function_definition::left def will_it_fly parameters::left ( var_1 , var_2 ) parameters::right : block::left return_statement::left return boolean_operator::left comparison_operator::left var_1 == subscript::left var_1 [ slice::left : : unary_operator::left - 1 unary_operator::right slice::right ] subscript::right comparison_operator::right and comparison_operator::left call::left sum argument_list::left ( var_1 ) argument_list::right call::right <= var_2 comparison_operator::right boolean_operator::right return_statement::right block::right function_definition::right module::right",lm
4,"def make_a_pile(n):
    return [n + 2*i for i in range(n)]
","def make_a_pile(var_1):
    return [var_1 + 2*i for i in range(var_1)]
",module::left function_definition::left def make_a_pile parameters::left ( var_1 ) parameters::right : block::left return_statement::left return list_comprehension::left [ binary_operator::left var_1 + binary_operator::left 2 * i binary_operator::right binary_operator::right for_in_clause::left for i in call::left range argument_list::left ( var_1 ) argument_list::right call::right for_in_clause::right ] list_comprehension::right return_statement::right block::right function_definition::right module::right,human
5,"def iscube(a):
    a = abs(a)
    return int(round(a ** (1. / 3))) ** 3 == a
","def iscube(var_1):
    var_1 = abs(var_1)
    return int(round(var_1 ** (1. / 3))) ** 3 == var_1
",module::left function_definition::left def iscube parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_1 = call::left abs argument_list::left ( var_1 ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return comparison_operator::left binary_operator::left call::left int argument_list::left ( call::left round argument_list::left ( binary_operator::left var_1 ** parenthesized_expression::left ( binary_operator::left 1. / 3 binary_operator::right ) parenthesized_expression::right binary_operator::right ) argument_list::right call::right ) argument_list::right call::right ** 3 binary_operator::right == var_1 comparison_operator::right return_statement::right block::right function_definition::right module::right,human
6,"def get_positive(l: list):
    return [n for n in l if n > 0]","def get_positive(var_1: list):
    return [n for n in var_1 if n > 0]",module::left function_definition::left def get_positive parameters::left ( typed_parameter::left var_1 : type::left list type::right typed_parameter::right ) parameters::right : block::left return_statement::left return list_comprehension::left [ n for_in_clause::left for n in var_1 for_in_clause::right if_clause::left if comparison_operator::left n > 0 comparison_operator::right if_clause::right ] list_comprehension::right return_statement::right block::right function_definition::right module::right,lm
7,"def car_race_collision(n: int):
    return n**2
","def car_race_collision(var_1: int):
    return var_1**2
",module::left function_definition::left def car_race_collision parameters::left ( typed_parameter::left var_1 : type::left int type::right typed_parameter::right ) parameters::right : block::left return_statement::left return binary_operator::left var_1 ** 2 binary_operator::right return_statement::right block::right function_definition::right module::right,human
8,"def is_nested(string):
    balance = 0
    nested = False
    for char in string:
        if char == '[':
            balance += 1
        elif char == ']':
            balance -= 1
        if balance > 1:
            nested = True
        if balance < 0:  # Early exit for invalid sequences
            return False
    return nested and balance == 0","def is_nested(var_1):
    var_2 = 0
    var_3 = False
    for var_4 in var_1:
        if var_4 == '[':
            var_2 += 1
        elif var_4 == ']':
            var_2 -= 1
        if var_2 > 1:
            var_3 = True
        if var_2 < 0:  # Early exit for invalid sequences
            return False
    return var_3 and var_2 == 0",module::left function_definition::left def is_nested parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = 0 assignment::right expression_statement::right expression_statement::left assignment::left var_3 = False assignment::right expression_statement::right for_statement::left for var_4 in var_1 : block::left if_statement::left if comparison_operator::left var_4 == string::left ' [ ' string::right comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_2 += 1 augmented_assignment::right expression_statement::right block::right elif_clause::left elif comparison_operator::left var_4 == string::left ' ] ' string::right comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_2 -= 1 augmented_assignment::right expression_statement::right block::right elif_clause::right if_statement::right if_statement::left if comparison_operator::left var_2 > 1 comparison_operator::right : block::left expression_statement::left assignment::left var_3 = True assignment::right expression_statement::right block::right if_statement::right if_statement::left if comparison_operator::left var_2 < 0 comparison_operator::right : # Early exit for invalid sequences block::left return_statement::left return False return_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return boolean_operator::left var_3 and comparison_operator::left var_2 == 0 comparison_operator::right boolean_operator::right return_statement::right block::right function_definition::right module::right,lm
9,"def fruit_distribution(s,n):
    lis = list()
    for i in s.split(' '):
        if i.isdigit():
            lis.append(int(i))
    return n - sum(lis)
","def fruit_distribution(var_1,var_2):
    var_3 = list()
    for var_4 in var_1.split(' '):
        if var_4.isdigit():
            var_3.append(int(var_4))
    return var_2 - sum(var_3)
","module::left function_definition::left def fruit_distribution parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = call::left list argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for var_4 in call::left attribute::left var_1 . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right : block::left if_statement::left if call::left attribute::left var_4 . isdigit attribute::right argument_list::left ( ) argument_list::right call::right : block::left expression_statement::left call::left attribute::left var_3 . append attribute::right argument_list::left ( call::left int argument_list::left ( var_4 ) argument_list::right call::right ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return binary_operator::left var_2 - call::left sum argument_list::left ( var_3 ) argument_list::right call::right binary_operator::right return_statement::right block::right function_definition::right module::right",human
10,"from typing import List


def parse_music(music_string: str) -> List[int]:
    note_map = {'o': 4, 'o|': 2, '.|': 1}
    return [note_map[x] for x in music_string.split(' ') if x]
","from typing import List


def parse_music(var_1: str) -> List[int]:
    var_2 = {'o': 4, 'o|': 2, '.|': 1}
    return [var_2[x] for x in var_1.split(' ') if x]
","module::left import_from_statement::left from dotted_name::left typing dotted_name::right import dotted_name::left List dotted_name::right import_from_statement::right function_definition::left def parse_music parameters::left ( typed_parameter::left var_1 : type::left str type::right typed_parameter::right ) parameters::right -> type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right : block::left expression_statement::left assignment::left var_2 = dictionary::left { pair::left string::left ' o ' string::right : 4 pair::right , pair::left string::left ' o| ' string::right : 2 pair::right , pair::left string::left ' .| ' string::right : 1 pair::right } dictionary::right assignment::right expression_statement::right return_statement::left return list_comprehension::left [ subscript::left var_2 [ x ] subscript::right for_in_clause::left for x in call::left attribute::left var_1 . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right for_in_clause::right if_clause::left if x if_clause::right ] list_comprehension::right return_statement::right block::right function_definition::right module::right",human
11,"def is_palindrome(string: str) -> bool:
    return string == string[::-1]

def make_palindrome(string: str) -> str:
    if is_palindrome(string):
        return string
    for i in range(len(string), -1, -1):
        if is_palindrome(string[:i]):
            return string + string[:len(string) - i][::-1]
    return string","def is_palindrome(var_1: str) -> bool:
    return var_1 == var_1[::-1]

def make_palindrome(var_1: str) -> str:
    if is_palindrome(var_1):
        return var_1
    for var_2 in range(len(var_1), -1, -1):
        if is_palindrome(var_1[:var_2]):
            return var_1 + var_1[:len(var_1) - var_2][::-1]
    return var_1","module::left function_definition::left def is_palindrome parameters::left ( typed_parameter::left var_1 : type::left str type::right typed_parameter::right ) parameters::right -> type::left bool type::right : block::left return_statement::left return comparison_operator::left var_1 == subscript::left var_1 [ slice::left : : unary_operator::left - 1 unary_operator::right slice::right ] subscript::right comparison_operator::right return_statement::right block::right function_definition::right function_definition::left def make_palindrome parameters::left ( typed_parameter::left var_1 : type::left str type::right typed_parameter::right ) parameters::right -> type::left str type::right : block::left if_statement::left if call::left is_palindrome argument_list::left ( var_1 ) argument_list::right call::right : block::left return_statement::left return var_1 return_statement::right block::right if_statement::right for_statement::left for var_2 in call::left range argument_list::left ( call::left len argument_list::left ( var_1 ) argument_list::right call::right , unary_operator::left - 1 unary_operator::right , unary_operator::left - 1 unary_operator::right ) argument_list::right call::right : block::left if_statement::left if call::left is_palindrome argument_list::left ( subscript::left var_1 [ slice::left : var_2 slice::right ] subscript::right ) argument_list::right call::right : block::left return_statement::left return binary_operator::left var_1 + subscript::left subscript::left var_1 [ slice::left : binary_operator::left call::left len argument_list::left ( var_1 ) argument_list::right call::right - var_2 binary_operator::right slice::right ] subscript::right [ slice::left : : unary_operator::left - 1 unary_operator::right slice::right ] subscript::right binary_operator::right return_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return var_1 return_statement::right block::right function_definition::right module::right",lm
12,"def bf(planet1, planet2):
    planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2:
        return ()
    planet1_index = planet_names.index(planet1)
    planet2_index = planet_names.index(planet2)
    if planet1_index < planet2_index:
        return (planet_names[planet1_index + 1: planet2_index])
    else:
        return (planet_names[planet2_index + 1 : planet1_index])
","def bf(var_1, var_2):
    var_3 = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if var_1 not in var_3 or var_2 not in var_3 or var_1 == var_2:
        return ()
    var_4 = var_3.index(var_1)
    var_5 = var_3.index(var_2)
    if var_4 < var_5:
        return (var_3[var_4 + 1: var_5])
    else:
        return (var_3[var_5 + 1 : var_4])
","module::left function_definition::left def bf parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = tuple::left ( string::left "" Mercury "" string::right , string::left "" Venus "" string::right , string::left "" Earth "" string::right , string::left "" Mars "" string::right , string::left "" Jupiter "" string::right , string::left "" Saturn "" string::right , string::left "" Uranus "" string::right , string::left "" Neptune "" string::right ) tuple::right assignment::right expression_statement::right if_statement::left if boolean_operator::left boolean_operator::left comparison_operator::left var_1 not in var_3 comparison_operator::right or comparison_operator::left var_2 not in var_3 comparison_operator::right boolean_operator::right or comparison_operator::left var_1 == var_2 comparison_operator::right boolean_operator::right : block::left return_statement::left return tuple::left ( ) tuple::right return_statement::right block::right if_statement::right expression_statement::left assignment::left var_4 = call::left attribute::left var_3 . index attribute::right argument_list::left ( var_1 ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left assignment::left var_5 = call::left attribute::left var_3 . index attribute::right argument_list::left ( var_2 ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if comparison_operator::left var_4 < var_5 comparison_operator::right : block::left return_statement::left return parenthesized_expression::left ( subscript::left var_3 [ slice::left binary_operator::left var_4 + 1 binary_operator::right : var_5 slice::right ] subscript::right ) parenthesized_expression::right return_statement::right block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( subscript::left var_3 [ slice::left binary_operator::left var_5 + 1 binary_operator::right : var_4 slice::right ] subscript::right ) parenthesized_expression::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
13,"def string_sequence(n: int) -> str:
    return ' '.join(str(i) for i in range(n + 1))","def string_sequence(var_1: int) -> str:
    return ' '.join(str(i) for i in range(var_1 + 1))",module::left function_definition::left def string_sequence parameters::left ( typed_parameter::left var_1 : type::left int type::right typed_parameter::right ) parameters::right -> type::left str type::right : block::left return_statement::left return call::left attribute::left string::left '   ' string::right . join attribute::right generator_expression::left ( call::left str argument_list::left ( i ) argument_list::right call::right for_in_clause::left for i in call::left range argument_list::left ( binary_operator::left var_1 + 1 binary_operator::right ) argument_list::right call::right for_in_clause::right ) generator_expression::right call::right return_statement::right block::right function_definition::right module::right,lm
14,"def sum_squares(lst):
    import math
    squared = 0
    for i in lst:
        squared += math.ceil(i)**2
    return squared
","def sum_squares(var_1):
    import math
    var_2 = 0
    for var_3 in var_1:
        var_2 += math.ceil(var_3)**2
    return var_2
",module::left function_definition::left def sum_squares parameters::left ( var_1 ) parameters::right : block::left import_statement::left import dotted_name::left math dotted_name::right import_statement::right expression_statement::left assignment::left var_2 = 0 assignment::right expression_statement::right for_statement::left for var_3 in var_1 : block::left expression_statement::left augmented_assignment::left var_2 += binary_operator::left call::left attribute::left math . ceil attribute::right argument_list::left ( var_3 ) argument_list::right call::right ** 2 binary_operator::right augmented_assignment::right expression_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right,human
15,"def choose_num(x, y):
    for num in range(y, x-1, -1):
        if num % 2 == 0:
            return num
    return -1","def choose_num(var_1, var_2):
    for var_3 in range(var_2, var_1-1, -1):
        if var_3 % 2 == 0:
            return var_3
    return -1","module::left function_definition::left def choose_num parameters::left ( var_1 , var_2 ) parameters::right : block::left for_statement::left for var_3 in call::left range argument_list::left ( var_2 , binary_operator::left var_1 - 1 binary_operator::right , unary_operator::left - 1 unary_operator::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left var_3 % 2 binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return var_3 return_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return unary_operator::left - 1 unary_operator::right return_statement::right block::right function_definition::right module::right",lm
16,"def by_length(arr):
    digit_names = {
        1: ""One"", 2: ""Two"", 3: ""Three"", 4: ""Four"",
        5: ""Five"", 6: ""Six"", 7: ""Seven"", 8: ""Eight"", 9: ""Nine""
    }
    # Filter, sort in ascending, then reverse for descending order
    sorted_arr = sorted([item for item in arr if 1 <= item <= 9], reverse=True)
    # Replace digits with names
    return [digit_names[item] for item in sorted_arr]","def by_length(var_1):
    var_2 = {
        1: ""One"", 2: ""Two"", 3: ""Three"", 4: ""Four"",
        5: ""Five"", 6: ""Six"", 7: ""Seven"", 8: ""Eight"", 9: ""Nine""
    }
    # Filter, sort in ascending, then reverse for descending order
    var_3 = sorted([item for item in var_1 if 1 <= item <= 9], reverse=True)
    # Replace digits with names
    return [var_2[item] for item in var_3]","module::left function_definition::left def by_length parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = dictionary::left { pair::left 1 : string::left "" One "" string::right pair::right , pair::left 2 : string::left "" Two "" string::right pair::right , pair::left 3 : string::left "" Three "" string::right pair::right , pair::left 4 : string::left "" Four "" string::right pair::right , pair::left 5 : string::left "" Five "" string::right pair::right , pair::left 6 : string::left "" Six "" string::right pair::right , pair::left 7 : string::left "" Seven "" string::right pair::right , pair::left 8 : string::left "" Eight "" string::right pair::right , pair::left 9 : string::left "" Nine "" string::right pair::right } dictionary::right assignment::right expression_statement::right # Filter, sort in ascending, then reverse for descending order expression_statement::left assignment::left var_3 = call::left sorted argument_list::left ( list_comprehension::left [ item for_in_clause::left for item in var_1 for_in_clause::right if_clause::left if comparison_operator::left 1 <= item <= 9 comparison_operator::right if_clause::right ] list_comprehension::right , keyword_argument::left reverse = True keyword_argument::right ) argument_list::right call::right assignment::right expression_statement::right # Replace digits with names return_statement::left return list_comprehension::left [ subscript::left var_2 [ item ] subscript::right for_in_clause::left for item in var_3 for_in_clause::right ] list_comprehension::right return_statement::right block::right function_definition::right module::right",lm
17,"def sum_squares(lst):
    total = 0
    for i, num in enumerate(lst):
        if i % 3 == 0:
            total += num ** 2
        elif i % 4 == 0:
            total += num ** 3
        else:
            total += num
    return total","def sum_squares(var_1):
    var_2 = 0
    for var_3, var_4 in enumerate(var_1):
        if var_3 % 3 == 0:
            var_2 += var_4 ** 2
        elif var_3 % 4 == 0:
            var_2 += var_4 ** 3
        else:
            var_2 += var_4
    return var_2","module::left function_definition::left def sum_squares parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = 0 assignment::right expression_statement::right for_statement::left for pattern_list::left var_3 , var_4 pattern_list::right in call::left enumerate argument_list::left ( var_1 ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left var_3 % 3 binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_2 += binary_operator::left var_4 ** 2 binary_operator::right augmented_assignment::right expression_statement::right block::right elif_clause::left elif comparison_operator::left binary_operator::left var_3 % 4 binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_2 += binary_operator::left var_4 ** 3 binary_operator::right augmented_assignment::right expression_statement::right block::right elif_clause::right else_clause::left else : block::left expression_statement::left augmented_assignment::left var_2 += var_4 augmented_assignment::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right",lm
