idx,code,new_code,ast,label
0,"import java.util.*;
import java.lang.*;

class Solution {
    public List<Integer> sortArray(List<Integer> arr) {
                List < Integer > sorted_arr = new ArrayList<>(arr);
        sorted_arr.sort(new Comparator<Integer>() {
            @Override
            public int compare(Integer o1, Integer o2) {
                int cnt1 = (int) Integer.toBinaryString(Math.abs(o1)).chars().filter(ch -> ch == '1').count();
                int cnt2 = (int) Integer.toBinaryString(Math.abs(o2)).chars().filter(ch -> ch == '1').count();
                if (cnt1 > cnt2) {
                    return 1;
                } else if (cnt1 < cnt2) {
                    return -1;
                } else {
                    return o1.compareTo(o2);
                }
            }
        });
        return sorted_arr;
    }
}","import java.util.*;
import java.lang.*;

class Solution {
    public List<Integer> sortArray(List<Integer> var_1) {
                List < Integer > var_2 = new ArrayList<>(var_1);
        var_2.sort(new Comparator<Integer>() {
            @Override
            public int compare(Integer var_3, Integer var_4) {
                int var_5 = (int) Integer.toBinaryString(Math.abs(var_3)).chars().filter(ch -> ch == '1').count();
                int var_6 = (int) Integer.toBinaryString(Math.abs(var_4)).chars().filter(ch -> ch == '1').count();
                if (var_5 > var_6) {
                    return 1;
                } else if (var_5 < var_6) {
                    return -1;
                } else {
                    return var_3.compareTo(var_4);
                }
            }
        });
        return var_2;
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right sortArray formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right var_1 formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left var_2 = object_creation_expression::left new generic_type::left ArrayList type_arguments::left < > type_arguments::right generic_type::right argument_list::left ( var_1 ) argument_list::right object_creation_expression::right variable_declarator::right ; local_variable_declaration::right expression_statement::left method_invocation::left var_2 . sort argument_list::left ( object_creation_expression::left new generic_type::left Comparator type_arguments::left < Integer > type_arguments::right generic_type::right argument_list::left ( ) argument_list::right class_body::left { method_declaration::left modifiers::left marker_annotation::left @ Override marker_annotation::right public modifiers::right integral_type::left int integral_type::right compare formal_parameters::left ( formal_parameter::left Integer var_3 formal_parameter::right , formal_parameter::left Integer var_4 formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_5 = cast_expression::left ( integral_type::left int integral_type::right ) method_invocation::left method_invocation::left method_invocation::left method_invocation::left Integer . toBinaryString argument_list::left ( method_invocation::left Math . abs argument_list::left ( var_3 ) argument_list::right method_invocation::right ) argument_list::right method_invocation::right . chars argument_list::left ( ) argument_list::right method_invocation::right . filter argument_list::left ( lambda_expression::left ch -> binary_expression::left ch == '1' binary_expression::right lambda_expression::right ) argument_list::right method_invocation::right . count argument_list::left ( ) argument_list::right method_invocation::right cast_expression::right variable_declarator::right ; local_variable_declaration::right local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_6 = cast_expression::left ( integral_type::left int integral_type::right ) method_invocation::left method_invocation::left method_invocation::left method_invocation::left Integer . toBinaryString argument_list::left ( method_invocation::left Math . abs argument_list::left ( var_4 ) argument_list::right method_invocation::right ) argument_list::right method_invocation::right . chars argument_list::left ( ) argument_list::right method_invocation::right . filter argument_list::left ( lambda_expression::left ch -> binary_expression::left ch == '1' binary_expression::right lambda_expression::right ) argument_list::right method_invocation::right . count argument_list::left ( ) argument_list::right method_invocation::right cast_expression::right variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left var_5 > var_6 binary_expression::right ) condition::right block::left { return_statement::left return 1 ; return_statement::right } block::right else if_statement::left if condition::left ( binary_expression::left var_5 < var_6 binary_expression::right ) condition::right block::left { return_statement::left return unary_expression::left - 1 unary_expression::right ; return_statement::right } block::right else block::left { return_statement::left return method_invocation::left var_3 . compareTo argument_list::left ( var_4 ) argument_list::right method_invocation::right ; return_statement::right } block::right if_statement::right if_statement::right } block::right method_declaration::right } class_body::right object_creation_expression::right ) argument_list::right method_invocation::right ; expression_statement::right return_statement::left return var_2 ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",human
1,"import java.util.*;
import java.lang.*;

class Solution {
    public String solve(int N) {
        int sum = 0;
        for (char c : String.valueOf(N).toCharArray()) {
            sum += (c - '0');
        }
        return Integer.toBinaryString(sum);
    }
}","import java.util.*;
import java.lang.*;

class Solution {
    public String solve(int var_1) {
        int var_2 = 0;
        for (char var_3 : String.valueOf(var_1).toCharArray()) {
            var_2 += (var_3 - '0');
        }
        return Integer.toBinaryString(var_2);
    }
}",program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right String solve formal_parameters::left ( formal_parameter::left integral_type::left int integral_type::right var_1 formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_2 = 0 variable_declarator::right ; local_variable_declaration::right enhanced_for_statement::left for ( integral_type::left char integral_type::right var_3 : method_invocation::left method_invocation::left String . valueOf argument_list::left ( var_1 ) argument_list::right method_invocation::right . toCharArray argument_list::left ( ) argument_list::right method_invocation::right ) block::left { expression_statement::left assignment_expression::left var_2 += parenthesized_expression::left ( binary_expression::left var_3 - '0' binary_expression::right ) parenthesized_expression::right assignment_expression::right ; expression_statement::right } block::right enhanced_for_statement::right return_statement::left return method_invocation::left Integer . toBinaryString argument_list::left ( var_2 ) argument_list::right method_invocation::right ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right,human
2,"public class Solution {

    public int fib(int n) {
        if (n <= 1) {
            return n;
        }
        int a = 0, b = 1;
        for (int i = 2; i <= n; i++) {
            int c = a + b;
            a = b;
            b = c;
        }
        return b;
    }
}","public class Solution {

    public int fib(int var_1) {
        if (var_1 <= 1) {
            return var_1;
        }
        int var_2 = 0, var_3 = 1;
        for (int var_4 = 2; var_4 <= var_1; var_4++) {
            int var_5 = var_2 + var_3;
            var_2 = var_3;
            var_3 = var_5;
        }
        return var_3;
    }
}","program::left class_declaration::left modifiers::left public modifiers::right class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right integral_type::left int integral_type::right fib formal_parameters::left ( formal_parameter::left integral_type::left int integral_type::right var_1 formal_parameter::right ) formal_parameters::right block::left { if_statement::left if condition::left ( binary_expression::left var_1 <= 1 binary_expression::right ) condition::right block::left { return_statement::left return var_1 ; return_statement::right } block::right if_statement::right local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_2 = 0 variable_declarator::right , variable_declarator::left var_3 = 1 variable_declarator::right ; local_variable_declaration::right for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_4 = 2 variable_declarator::right ; local_variable_declaration::right binary_expression::left var_4 <= var_1 binary_expression::right ; update_expression::left var_4 ++ update_expression::right ) block::left { local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_5 = binary_expression::left var_2 + var_3 binary_expression::right variable_declarator::right ; local_variable_declaration::right expression_statement::left assignment_expression::left var_2 = var_3 assignment_expression::right ; expression_statement::right expression_statement::left assignment_expression::left var_3 = var_5 assignment_expression::right ; expression_statement::right } block::right for_statement::right return_statement::left return var_3 ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",lm
3,"import java.util.List;
import java.util.TreeSet;
import java.util.ArrayList;

class Solution {
    public List<Integer> unique(List<Integer> l) {
        TreeSet<Integer> sortedUniqueElements = new TreeSet<>(l);
        return new ArrayList<>(sortedUniqueElements);
    }
}","import java.util.List;
import java.util.TreeSet;
import java.util.ArrayList;

class Solution {
    public List<Integer> unique(List<Integer> var_1) {
        TreeSet<Integer> var_2 = new TreeSet<>(var_1);
        return new ArrayList<>(var_2);
    }
}",program::left import_declaration::left import scoped_identifier::left scoped_identifier::left java . util scoped_identifier::right . List scoped_identifier::right ; import_declaration::right import_declaration::left import scoped_identifier::left scoped_identifier::left java . util scoped_identifier::right . TreeSet scoped_identifier::right ; import_declaration::right import_declaration::left import scoped_identifier::left scoped_identifier::left java . util scoped_identifier::right . ArrayList scoped_identifier::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right unique formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right var_1 formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left generic_type::left TreeSet type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left var_2 = object_creation_expression::left new generic_type::left TreeSet type_arguments::left < > type_arguments::right generic_type::right argument_list::left ( var_1 ) argument_list::right object_creation_expression::right variable_declarator::right ; local_variable_declaration::right return_statement::left return object_creation_expression::left new generic_type::left ArrayList type_arguments::left < > type_arguments::right generic_type::right argument_list::left ( var_2 ) argument_list::right object_creation_expression::right ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right,lm
4,"import java.util.List;
import java.util.Optional;

public class Solution {
    public List<Optional<Integer>> largestSmallestIntegers(List<Integer> lst) {
        Optional<Integer> largestNegative = lst.stream()
                .filter(n -> n < 0)
                .max(Integer::compare);
                
        Optional<Integer> smallestPositive = lst.stream()
                .filter(n -> n > 0)
                .min(Integer::compare);
                
        return List.of(largestNegative, smallestPositive);
    }
}","import java.util.List;
import java.util.Optional;

public class Solution {
    public List<Optional<Integer>> largestSmallestIntegers(List<Integer> var_1) {
        Optional<Integer> var_2 = var_1.stream()
                .filter(n -> n < 0)
                .max(Integer::compare);
                
        Optional<Integer> var_3 = var_1.stream()
                .filter(n -> n > 0)
                .min(Integer::compare);
                
        return List.of(var_2, var_3);
    }
}","program::left import_declaration::left import scoped_identifier::left scoped_identifier::left java . util scoped_identifier::right . List scoped_identifier::right ; import_declaration::right import_declaration::left import scoped_identifier::left scoped_identifier::left java . util scoped_identifier::right . Optional scoped_identifier::right ; import_declaration::right class_declaration::left modifiers::left public modifiers::right class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right generic_type::left List type_arguments::left < generic_type::left Optional type_arguments::left < Integer > type_arguments::right generic_type::right > type_arguments::right generic_type::right largestSmallestIntegers formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right var_1 formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left generic_type::left Optional type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left var_2 = method_invocation::left method_invocation::left method_invocation::left var_1 . stream argument_list::left ( ) argument_list::right method_invocation::right . filter argument_list::left ( lambda_expression::left n -> binary_expression::left n < 0 binary_expression::right lambda_expression::right ) argument_list::right method_invocation::right . max argument_list::left ( method_reference::left Integer :: compare method_reference::right ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right local_variable_declaration::left generic_type::left Optional type_arguments::left < Integer > type_arguments::right generic_type::right variable_declarator::left var_3 = method_invocation::left method_invocation::left method_invocation::left var_1 . stream argument_list::left ( ) argument_list::right method_invocation::right . filter argument_list::left ( lambda_expression::left n -> binary_expression::left n > 0 binary_expression::right lambda_expression::right ) argument_list::right method_invocation::right . min argument_list::left ( method_reference::left Integer :: compare method_reference::right ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right return_statement::left return method_invocation::left List . of argument_list::left ( var_2 , var_3 ) argument_list::right method_invocation::right ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",lm
5,"import java.util.*;
import java.lang.*;

class Solution {
    public Optional<String> longest(List<String> strings) {
        if (strings.isEmpty()) {
            return Optional.empty();
        }
        String longest = strings.get(0);
        for (String s : strings) {
            if (s.length() > longest.length()) {
                longest = s;
            }
        }
        return Optional.of(longest);
    }
}","import java.util.*;
import java.lang.*;

class Solution {
    public Optional<String> var_2(List<String> var_1) {
        if (var_1.isEmpty()) {
            return Optional.empty();
        }
        String var_2 = var_1.get(0);
        for (String var_3 : var_1) {
            if (var_3.length() > var_2.length()) {
                var_2 = var_3;
            }
        }
        return Optional.of(var_2);
    }
}",program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right generic_type::left Optional type_arguments::left < String > type_arguments::right generic_type::right var_2 formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < String > type_arguments::right generic_type::right var_1 formal_parameter::right ) formal_parameters::right block::left { if_statement::left if condition::left ( method_invocation::left var_1 . isEmpty argument_list::left ( ) argument_list::right method_invocation::right ) condition::right block::left { return_statement::left return method_invocation::left Optional . empty argument_list::left ( ) argument_list::right method_invocation::right ; return_statement::right } block::right if_statement::right local_variable_declaration::left String variable_declarator::left var_2 = method_invocation::left var_1 . get argument_list::left ( 0 ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right enhanced_for_statement::left for ( String var_3 : var_1 ) block::left { if_statement::left if condition::left ( binary_expression::left method_invocation::left var_3 . length argument_list::left ( ) argument_list::right method_invocation::right > method_invocation::left var_2 . length argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ) condition::right block::left { expression_statement::left assignment_expression::left var_2 = var_3 assignment_expression::right ; expression_statement::right } block::right if_statement::right } block::right enhanced_for_statement::right return_statement::left return method_invocation::left Optional . of argument_list::left ( var_2 ) argument_list::right method_invocation::right ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right,human
6,"import java.util.*;
import java.lang.*;

class Solution {
    public boolean iscube(int a) {
        if (a == 0) return true; // Zero is a cube of 0
        
        int absValue = Math.abs(a); // Handle negative numbers
        
        int cubeRoot = (int) Math.round(Math.cbrt(absValue));
        
        // Check if the cube of the cube root is equal to the absolute value
        return cubeRoot * cubeRoot * cubeRoot == absValue;
    }
}","import java.util.*;
import java.lang.*;

class Solution {
    public boolean iscube(int var_1) {
        if (var_1 == 0) return true; // Zero is a cube of 0
        
        int var_2 = Math.abs(var_1); // Handle negative numbers
        
        int var_3 = (int) Math.round(Math.cbrt(var_2));
        
        // Check if the cube of the cube root is equal to the absolute value
        return var_3 * var_3 * var_3 == var_2;
    }
}",program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right boolean iscube formal_parameters::left ( formal_parameter::left integral_type::left int integral_type::right var_1 formal_parameter::right ) formal_parameters::right block::left { if_statement::left if condition::left ( binary_expression::left var_1 == 0 binary_expression::right ) condition::right return_statement::left return true ; return_statement::right if_statement::right // Zero is a cube of 0 local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_2 = method_invocation::left Math . abs argument_list::left ( var_1 ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right // Handle negative numbers local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_3 = cast_expression::left ( integral_type::left int integral_type::right ) method_invocation::left Math . round argument_list::left ( method_invocation::left Math . cbrt argument_list::left ( var_2 ) argument_list::right method_invocation::right ) argument_list::right method_invocation::right cast_expression::right variable_declarator::right ; local_variable_declaration::right // Check if the cube of the cube root is equal to the absolute value return_statement::left return binary_expression::left binary_expression::left binary_expression::left var_3 * var_3 binary_expression::right * var_3 binary_expression::right == var_2 binary_expression::right ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right,lm
7,"import java.util.*;
import java.lang.*;

class Solution {
    public boolean hasCloseElements(List<Double> numbers, double threshold) {
        for (int i = 0; i < numbers.size(); i++) {
            for (int j = i + 1; j < numbers.size(); j++) {
                double distance = Math.abs(numbers.get(i) - numbers.get(j));
                if (distance < threshold) return true;
            }
        }
        return false;
    }
}","import java.util.*;
import java.lang.*;

class Solution {
    public boolean hasCloseElements(List<Double> var_1, double var_2) {
        for (int var_3 = 0; var_3 < var_1.size(); var_3++) {
            for (int var_4 = var_3 + 1; var_4 < var_1.size(); var_4++) {
                double var_5 = Math.abs(var_1.get(var_3) - var_1.get(var_4));
                if (var_5 < var_2) return true;
            }
        }
        return false;
    }
}","program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right boolean hasCloseElements formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Double > type_arguments::right generic_type::right var_1 formal_parameter::right , formal_parameter::left floating_point_type::left double floating_point_type::right var_2 formal_parameter::right ) formal_parameters::right block::left { for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_3 = 0 variable_declarator::right ; local_variable_declaration::right binary_expression::left var_3 < method_invocation::left var_1 . size argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ; update_expression::left var_3 ++ update_expression::right ) block::left { for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_4 = binary_expression::left var_3 + 1 binary_expression::right variable_declarator::right ; local_variable_declaration::right binary_expression::left var_4 < method_invocation::left var_1 . size argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ; update_expression::left var_4 ++ update_expression::right ) block::left { local_variable_declaration::left floating_point_type::left double floating_point_type::right variable_declarator::left var_5 = method_invocation::left Math . abs argument_list::left ( binary_expression::left method_invocation::left var_1 . get argument_list::left ( var_3 ) argument_list::right method_invocation::right - method_invocation::left var_1 . get argument_list::left ( var_4 ) argument_list::right method_invocation::right binary_expression::right ) argument_list::right method_invocation::right variable_declarator::right ; local_variable_declaration::right if_statement::left if condition::left ( binary_expression::left var_5 < var_2 binary_expression::right ) condition::right return_statement::left return true ; return_statement::right if_statement::right } block::right for_statement::right } block::right for_statement::right return_statement::left return false ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right",human
8,"import java.util.*;
import java.lang.*;

class Solution {
    public String encrypt(String s) {
        StringBuilder sb = new StringBuilder();
        for (char c : s.toCharArray()) {
            if (Character.isLetter(c)) {
                sb.append((char) ('a' + (c - 'a' + 2 * 2) % 26));
            } else {
                sb.append(c);
            }
        }
        return sb.toString();
    }
}","import java.util.*;
import java.lang.*;

class Solution {
    public String encrypt(String var_1) {
        StringBuilder var_2 = new StringBuilder();
        for (char var_3 : var_1.toCharArray()) {
            if (Character.isLetter(var_3)) {
                var_2.append((char) ('a' + (var_3 - 'a' + 2 * 2) % 26));
            } else {
                var_2.append(var_3);
            }
        }
        return var_2.toString();
    }
}",program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right String encrypt formal_parameters::left ( formal_parameter::left String var_1 formal_parameter::right ) formal_parameters::right block::left { local_variable_declaration::left StringBuilder variable_declarator::left var_2 = object_creation_expression::left new StringBuilder argument_list::left ( ) argument_list::right object_creation_expression::right variable_declarator::right ; local_variable_declaration::right enhanced_for_statement::left for ( integral_type::left char integral_type::right var_3 : method_invocation::left var_1 . toCharArray argument_list::left ( ) argument_list::right method_invocation::right ) block::left { if_statement::left if condition::left ( method_invocation::left Character . isLetter argument_list::left ( var_3 ) argument_list::right method_invocation::right ) condition::right block::left { expression_statement::left method_invocation::left var_2 . append argument_list::left ( cast_expression::left ( integral_type::left char integral_type::right ) parenthesized_expression::left ( binary_expression::left 'a' + binary_expression::left parenthesized_expression::left ( binary_expression::left binary_expression::left var_3 - 'a' binary_expression::right + binary_expression::left 2 * 2 binary_expression::right binary_expression::right ) parenthesized_expression::right % 26 binary_expression::right binary_expression::right ) parenthesized_expression::right cast_expression::right ) argument_list::right method_invocation::right ; expression_statement::right } block::right else block::left { expression_statement::left method_invocation::left var_2 . append argument_list::left ( var_3 ) argument_list::right method_invocation::right ; expression_statement::right } block::right if_statement::right } block::right enhanced_for_statement::right return_statement::left return method_invocation::left var_2 . toString argument_list::left ( ) argument_list::right method_invocation::right ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right,human
9,"import java.util.*;
import java.lang.*;

class Solution {
    public boolean pairsSumToZero(List<Integer> l) {
        for (int i = 0; i < l.size(); i++) {
            for (int j = i + 1; j < l.size(); j++) {
                if (l.get(i) + l.get(j) == 0) {
                    return true;
                }
            }
        }
        return false;
    }
}","import java.util.*;
import java.lang.*;

class Solution {
    public boolean pairsSumToZero(List<Integer> var_1) {
        for (int var_2 = 0; var_2 < var_1.size(); var_2++) {
            for (int var_3 = var_2 + 1; var_3 < var_1.size(); var_3++) {
                if (var_1.get(var_2) + var_1.get(var_3) == 0) {
                    return true;
                }
            }
        }
        return false;
    }
}",program::left import_declaration::left import scoped_identifier::left java . util scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right import_declaration::left import scoped_identifier::left java . lang scoped_identifier::right . asterisk::left * asterisk::right ; import_declaration::right class_declaration::left class Solution class_body::left { method_declaration::left modifiers::left public modifiers::right boolean pairsSumToZero formal_parameters::left ( formal_parameter::left generic_type::left List type_arguments::left < Integer > type_arguments::right generic_type::right var_1 formal_parameter::right ) formal_parameters::right block::left { for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_2 = 0 variable_declarator::right ; local_variable_declaration::right binary_expression::left var_2 < method_invocation::left var_1 . size argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ; update_expression::left var_2 ++ update_expression::right ) block::left { for_statement::left for ( local_variable_declaration::left integral_type::left int integral_type::right variable_declarator::left var_3 = binary_expression::left var_2 + 1 binary_expression::right variable_declarator::right ; local_variable_declaration::right binary_expression::left var_3 < method_invocation::left var_1 . size argument_list::left ( ) argument_list::right method_invocation::right binary_expression::right ; update_expression::left var_3 ++ update_expression::right ) block::left { if_statement::left if condition::left ( binary_expression::left binary_expression::left method_invocation::left var_1 . get argument_list::left ( var_2 ) argument_list::right method_invocation::right + method_invocation::left var_1 . get argument_list::left ( var_3 ) argument_list::right method_invocation::right binary_expression::right == 0 binary_expression::right ) condition::right block::left { return_statement::left return true ; return_statement::right } block::right if_statement::right } block::right for_statement::right } block::right for_statement::right return_statement::left return false ; return_statement::right } block::right method_declaration::right } class_body::right class_declaration::right program::right,human
