model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	lr	OK	2026-05-27T00:56:53-05:00	2026-05-27T00:57:09-05:00	16	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_lr_20260527_005653.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	svm	OK	2026-05-27T00:57:09-05:00	2026-05-27T00:57:50-05:00	41	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_svm_20260527_005709.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	mlp	OK	2026-05-27T00:57:50-05:00	2026-05-27T01:02:27-05:00	277	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_mlp_20260527_005750.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	rf	OK	2026-05-27T01:02:27-05:00	2026-05-27T01:03:06-05:00	39	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_rf_20260527_010227.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	gb	OK	2026-05-27T01:03:06-05:00	2026-05-27T01:27:46-05:00	1480	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_gb_20260527_010306.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	knn	OK	2026-05-27T01:27:46-05:00	2026-05-27T01:27:54-05:00	8	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_knn_20260527_012746.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	dt	OK	2026-05-27T01:27:54-05:00	2026-05-27T01:28:23-05:00	29	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_dt_20260527_012754.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	et	OK	2026-05-27T01:28:23-05:00	2026-05-27T01:30:36-05:00	133	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_et_20260527_012823.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	ada	OK	2026-05-27T01:30:36-05:00	2026-05-27T01:38:47-05:00	491	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_ada_20260527_013036.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	hgb	OK	2026-05-27T01:38:47-05:00	2026-05-27T01:42:33-05:00	226	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_hgb_20260527_013847.log
starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048	xgb	OK	2026-05-27T01:42:33-05:00	2026-05-27T02:06:52-05:00	1459	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_allmodels_20260527_005653/run4_starcoder2-15b-instruct-v0.1_complexity_fixedtest_maxlen2048_xgb_20260527_014233.log
