model,fpr,tpr,threshold
codellama-7b,0.0,0.0,inf
codellama-7b,0.0,0.0066666666666666,3.5645
codellama-7b,0.0,0.1133333333333333,2.1932
codellama-7b,0.0066666666666666,0.1133333333333333,2.1888
codellama-7b,0.0066666666666666,0.1666666666666666,1.8733
codellama-7b,0.02,0.1666666666666666,1.817
codellama-7b,0.02,0.18,1.7816
codellama-7b,0.0266666666666666,0.18,1.7646
codellama-7b,0.0266666666666666,0.2,1.6754
codellama-7b,0.0333333333333333,0.2,1.644
codellama-7b,0.0333333333333333,0.2133333333333333,1.5984
codellama-7b,0.04,0.2133333333333333,1.5555
codellama-7b,0.04,0.28,1.3806
codellama-7b,0.06,0.28,1.3508
codellama-7b,0.06,0.3066666666666666,1.3077
codellama-7b,0.0733333333333333,0.3066666666666666,1.304
codellama-7b,0.0733333333333333,0.3266666666666666,1.2587
codellama-7b,0.08,0.3266666666666666,1.247
codellama-7b,0.08,0.36,1.1765
codellama-7b,0.1,0.36,1.1519
codellama-7b,0.1,0.3733333333333333,1.0483
codellama-7b,0.1066666666666666,0.3733333333333333,1.0386
codellama-7b,0.1066666666666666,0.38,1.0142
codellama-7b,0.1133333333333333,0.38,1.012
codellama-7b,0.1133333333333333,0.4133333333333333,0.9333
codellama-7b,0.1266666666666666,0.4133333333333333,0.8992
codellama-7b,0.1266666666666666,0.42,0.8991
codellama-7b,0.1333333333333333,0.42,0.8881
codellama-7b,0.1333333333333333,0.4733333333333333,0.7637
codellama-7b,0.14,0.4733333333333333,0.7416
codellama-7b,0.14,0.4866666666666667,0.7205
codellama-7b,0.1466666666666666,0.4866666666666667,0.7152
codellama-7b,0.1466666666666666,0.5,0.7121
codellama-7b,0.1533333333333333,0.5,0.6853
codellama-7b,0.1533333333333333,0.5133333333333333,0.6786
codellama-7b,0.16,0.5133333333333333,0.66
codellama-7b,0.16,0.5466666666666666,0.5997
codellama-7b,0.1733333333333333,0.5466666666666666,0.593
