sample_id,jsonl_line,source_line_no,filter_index,status,raw_mgc_ok,clean_mgc_ok,hwc_ok,raw_mgc_error,clean_mgc_error,hwc_error,raw_output_len,clean_output_len,prompt_len,solution_len,hwc_npr,mgc_npr,winner,prompt,solution,raw_output,clean_output,hwc_code,mgc_code
line1109,1109,,,raw_valid,True,True,True,,,,148,148,277,341,,,,"def _get_extra_args(extra_args, arg_keys):
    """"""Retrieve extra arguments to pass along to combine function.

    Special cases like reference files and configuration information
    are passed as single items, the rest as lists mapping to each data
    item combined.
    """"""","
    # XXX back compatible hack -- should have a way to specify these.
    single_keys = set([""sam_ref"", ""config""])
    out = []
    for i, arg_key in enumerate(arg_keys):
        vals = [xs[i] for xs in extra_args]
        if arg_key in single_keys:
            out.append(vals[-1])
        else:
            out.append(vals)
    return out","
    return [
        extra_args[key] if isinstance(extra_args[key], list) else [extra_args[key]] * len(arg_keys)
        for key in arg_keys
    ]
","
    return [
        extra_args[key] if isinstance(extra_args[key], list) else [extra_args[key]] * len(arg_keys)
        for key in arg_keys
    ]
","def _get_extra_args(extra_args, arg_keys):
    """"""Retrieve extra arguments to pass along to combine function.

    Special cases like reference files and configuration information
    are passed as single items, the rest as lists mapping to each data
    item combined.
    """"""
    # XXX back compatible hack -- should have a way to specify these.
    single_keys = set([""sam_ref"", ""config""])
    out = []
    for i, arg_key in enumerate(arg_keys):
        vals = [xs[i] for xs in extra_args]
        if arg_key in single_keys:
            out.append(vals[-1])
        else:
            out.append(vals)
    return out
","def _get_extra_args(extra_args, arg_keys):
    """"""Retrieve extra arguments to pass along to combine function.

    Special cases like reference files and configuration information
    are passed as single items, the rest as lists mapping to each data
    item combined.
    """"""
    return [
        extra_args[key] if isinstance(extra_args[key], list) else [extra_args[key]] * len(arg_keys)
        for key in arg_keys
    ]
"
line2997,2997,,,salvaged_valid,False,True,True,unindent does not match any outer indentation level at line 3,,,46,54,101,206,,,,"def wait_return(self, callback):
        """"""Entry point of SelectableObject: register the callback""""""","
        if self.check_recv():
            return callback(self)
        _t = threading.Thread(target=self._wait_non_ressources, args=(callback,))  # noqa: E501
        _t.setDaemon(True)
        _t.start()","
    self.callback = callback
    return self
","
        self.callback = callback
        return self
","def wait_return(self, callback):
        """"""Entry point of SelectableObject: register the callback""""""
        if self.check_recv():
            return callback(self)
        _t = threading.Thread(target=self._wait_non_ressources, args=(callback,))  # noqa: E501
        _t.setDaemon(True)
        _t.start()
","def wait_return(self, callback):
        """"""Entry point of SelectableObject: register the callback""""""
        self.callback = callback
        return self
"
line2255,2255,,,raw_valid,True,True,True,,,,363,363,228,894,,,,"def logging_file_install(path):
    """"""
    Install logger that will write to file. If this function has already installed a handler, replace it.
    :param path: path to the log file, Use None for default file location.
    """"""","
    if path is None:
        path = configuration_get_default_folder() / LOGGING_DEFAULTNAME

    if not path.parent.exists():
        log.error('File logger installation FAILED!')
        log.error('The directory of the log file does not exist.')
        return

    formatter = logging.Formatter(LOGGING_FORMAT)
    logger = logging.getLogger()

    logger.removeHandler(LOGGING_HANDLERS['file'])

    logFileHandler = logging.handlers.RotatingFileHandler(filename=str(path),
                                                          mode='a',
                                                          maxBytes=LOGGING_MAXBYTES,
                                                          backupCount=LOGGING_BACKUPCOUNT)
    logFileHandler.setLevel(logging.DEBUG)
    logFileHandler.setFormatter(formatter)

    LOGGING_HANDLERS['file'] = logFileHandler

    logger.addHandler(logFileHandler)","
    logger = logging.getLogger()
    logger.setLevel(logging.DEBUG)
    if logger.hasHandlers():
        logger.handlers.clear()
    handler = logging.FileHandler(path)
    handler.setLevel(logging.DEBUG)
    formatter = logging.Formatter('%(asctime)s - %(name)s - %(levelname)s - %(message)s')
    handler.setFormatter(formatter)
    logger.addHandler(handler)
","
    logger = logging.getLogger()
    logger.setLevel(logging.DEBUG)
    if logger.hasHandlers():
        logger.handlers.clear()
    handler = logging.FileHandler(path)
    handler.setLevel(logging.DEBUG)
    formatter = logging.Formatter('%(asctime)s - %(name)s - %(levelname)s - %(message)s')
    handler.setFormatter(formatter)
    logger.addHandler(handler)
","def logging_file_install(path):
    """"""
    Install logger that will write to file. If this function has already installed a handler, replace it.
    :param path: path to the log file, Use None for default file location.
    """"""
    if path is None:
        path = configuration_get_default_folder() / LOGGING_DEFAULTNAME

    if not path.parent.exists():
        log.error('File logger installation FAILED!')
        log.error('The directory of the log file does not exist.')
        return

    formatter = logging.Formatter(LOGGING_FORMAT)
    logger = logging.getLogger()

    logger.removeHandler(LOGGING_HANDLERS['file'])

    logFileHandler = logging.handlers.RotatingFileHandler(filename=str(path),
                                                          mode='a',
                                                          maxBytes=LOGGING_MAXBYTES,
                                                          backupCount=LOGGING_BACKUPCOUNT)
    logFileHandler.setLevel(logging.DEBUG)
    logFileHandler.setFormatter(formatter)

    LOGGING_HANDLERS['file'] = logFileHandler

    logger.addHandler(logFileHandler)
","def logging_file_install(path):
    """"""
    Install logger that will write to file. If this function has already installed a handler, replace it.
    :param path: path to the log file, Use None for default file location.
    """"""
    logger = logging.getLogger()
    logger.setLevel(logging.DEBUG)
    if logger.hasHandlers():
        logger.handlers.clear()
    handler = logging.FileHandler(path)
    handler.setLevel(logging.DEBUG)
    formatter = logging.Formatter('%(asctime)s - %(name)s - %(levelname)s - %(message)s')
    handler.setFormatter(formatter)
    logger.addHandler(handler)
"
line1048,1048,,,raw_valid,True,True,True,,,,693,556,387,1910,,,,"def interpolateCircular2dStructuredIDW(grid, mask, kernel=15, power=2, 
                               fr=1, fphi=1, cx=0, cy=0):
    """"""
    same as interpolate2dStructuredIDW
    but calculation distance to neighbour using polar coordinates
    fr, fphi --> weight factors for radian and radius differences
    cx,cy -> polar center of the array e.g. middle->(sx//2+1,sy//2+1) 
    """"""","
    gx = grid.shape[0]
    gy = grid.shape[0]

    #FOR EVERY PIXEL
    for i in range(gx):
        for j in range(gy):
            
            if mask[i,j]:
                
                xmn = i-kernel
                if xmn < 0:
                    xmn = 0
                xmx = i+kernel
                if xmx > gx:
                    xmx = gx
                    
                ymn = j-kernel
                if ymn < 0:
                    ymn = 0
                ymx = j+kernel
                if ymx > gx:
                    ymx = gy
                    
                sumWi = 0.0
                value = 0.0 

                #radius and radian to polar center:
                R = ((i-cx)**2+(j-cy)**2)**0.5
                PHI = atan2(j-cy, i-cx)
                
                #FOR EVERY NEIGHBOUR IN KERNEL              
                for xi in range(xmn,xmx):
                    for yi in range(ymn,ymx):
                        if  (xi != i or yi != j) and not mask[xi,yi]:
                            nR = ((xi-cx)**2+(yi-cy)**2)**0.5
                            dr =  R - nR
                            #average radius between both p:
                            midR = 0.5*(R+nR)
                            #radian of neighbour p:
                            nphi = atan2(yi-cy, xi-cx)
                            #relative angle between both points:
                            dphi = min((2*np.pi) - abs(PHI - nphi), 
                                       abs(PHI - nphi))    
                            dphi*=midR       
                            
                            dist = ((fr*dr)**2+(fphi*dphi)**2)**2

                            wi = 1 / dist**(0.5*power)
                            sumWi += wi
                            value += wi * grid[xi,yi]  
                if sumWi:
                    grid[i,j] = value / sumWi               

    return grid","
def interpolateCircular2dStructuredIDW(grid, mask, kernel=15, power=2,
                                       fr=1, fphi=1, cx=0, cy=0):
    sx, sy = grid.shape
    if cx == 0 and cy == 0:
        cx, cy = sx // 2 + 1, sy // 2 + 1
    r = np.sqrt(((np.arange(sx) - cx) ** 2)[:, None] + ((np.arange(sy) - cy) ** 2)[None, :])
    phi = np.arctan2(np.arange(sy) - cy, np.arange(sx) - cx)
    dist = np.sqrt((r[None, :, :] - r[:, None, :]) ** 2 + (phi[None, :, :] - phi[:, None, :]) ** 2)
    dist[dist == 0] = 1
    weights = 1 / dist ** power
    weights[mask] = 0
    weights /= weights.sum(axis=(1, 2))[:, None, None]
    return np.sum(grid[None, :, :] * weights[:, None, None], axis=(1, 2))
","
    sx, sy = grid.shape
    if cx == 0 and cy == 0:
        cx, cy = sx // 2 + 1, sy // 2 + 1
    r = np.sqrt(((np.arange(sx) - cx) ** 2)[:, None] + ((np.arange(sy) - cy) ** 2)[None, :])
    phi = np.arctan2(np.arange(sy) - cy, np.arange(sx) - cx)
    dist = np.sqrt((r[None, :, :] - r[:, None, :]) ** 2 + (phi[None, :, :] - phi[:, None, :]) ** 2)
    dist[dist == 0] = 1
    weights = 1 / dist ** power
    weights[mask] = 0
    weights /= weights.sum(axis=(1, 2))[:, None, None]
    return np.sum(grid[None, :, :] * weights[:, None, None], axis=(1, 2))
","def interpolateCircular2dStructuredIDW(grid, mask, kernel=15, power=2, 
                               fr=1, fphi=1, cx=0, cy=0):
    """"""
    same as interpolate2dStructuredIDW
    but calculation distance to neighbour using polar coordinates
    fr, fphi --> weight factors for radian and radius differences
    cx,cy -> polar center of the array e.g. middle->(sx//2+1,sy//2+1) 
    """"""
    gx = grid.shape[0]
    gy = grid.shape[0]

    #FOR EVERY PIXEL
    for i in range(gx):
        for j in range(gy):

            if mask[i,j]:

                xmn = i-kernel
                if xmn < 0:
                    xmn = 0
                xmx = i+kernel
                if xmx > gx:
                    xmx = gx

                ymn = j-kernel
                if ymn < 0:
                    ymn = 0
                ymx = j+kernel
                if ymx > gx:
                    ymx = gy

                sumWi = 0.0
                value = 0.0 

                #radius and radian to polar center:
                R = ((i-cx)**2+(j-cy)**2)**0.5
                PHI = atan2(j-cy, i-cx)

                #FOR EVERY NEIGHBOUR IN KERNEL              
                for xi in range(xmn,xmx):
                    for yi in range(ymn,ymx):
                        if  (xi != i or yi != j) and not mask[xi,yi]:
                            nR = ((xi-cx)**2+(yi-cy)**2)**0.5
                            dr =  R - nR
                            #average radius between both p:
                            midR = 0.5*(R+nR)
                            #radian of neighbour p:
                            nphi = atan2(yi-cy, xi-cx)
                            #relative angle between both points:
                            dphi = min((2*np.pi) - abs(PHI - nphi), 
                                       abs(PHI - nphi))    
                            dphi*=midR       

                            dist = ((fr*dr)**2+(fphi*dphi)**2)**2

                            wi = 1 / dist**(0.5*power)
                            sumWi += wi
                            value += wi * grid[xi,yi]  
                if sumWi:
                    grid[i,j] = value / sumWi               

    return grid
","def interpolateCircular2dStructuredIDW(grid, mask, kernel=15, power=2, 
                               fr=1, fphi=1, cx=0, cy=0):
    """"""
    same as interpolate2dStructuredIDW
    but calculation distance to neighbour using polar coordinates
    fr, fphi --> weight factors for radian and radius differences
    cx,cy -> polar center of the array e.g. middle->(sx//2+1,sy//2+1) 
    """"""
    sx, sy = grid.shape
    if cx == 0 and cy == 0:
        cx, cy = sx // 2 + 1, sy // 2 + 1
    r = np.sqrt(((np.arange(sx) - cx) ** 2)[:, None] + ((np.arange(sy) - cy) ** 2)[None, :])
    phi = np.arctan2(np.arange(sy) - cy, np.arange(sx) - cx)
    dist = np.sqrt((r[None, :, :] - r[:, None, :]) ** 2 + (phi[None, :, :] - phi[:, None, :]) ** 2)
    dist[dist == 0] = 1
    weights = 1 / dist ** power
    weights[mask] = 0
    weights /= weights.sum(axis=(1, 2))[:, None, None]
    return np.sum(grid[None, :, :] * weights[:, None, None], axis=(1, 2))
"
line82,82,,,raw_valid,True,True,True,,,,188,188,70,413,,,,"def orphans(dburl, sitedir):
    """"""Remove all orphans in the site.""""""","
    oldcwd = os.getcwd()
    os.chdir(sitedir)
    db = StrictRedis.from_url(dburl)
    job = get_current_job(db)
    job.meta.update({'out': '', 'return': None, 'status': None})
    job.save()
    returncode, out = orphans_single(default_exec=True)

    job.meta.update({'out': out, 'return': returncode, 'status':
                     returncode == 0})
    job.save()
    os.chdir(oldcwd)
    return returncode","
    with open(dburl, 'r') as f:
        db = f.read()
    files = os.listdir(sitedir)
    for file in files:
        if file not in db:
            os.remove(os.path.join(sitedir, file))
","
    with open(dburl, 'r') as f:
        db = f.read()
    files = os.listdir(sitedir)
    for file in files:
        if file not in db:
            os.remove(os.path.join(sitedir, file))
","def orphans(dburl, sitedir):
    """"""Remove all orphans in the site.""""""
    oldcwd = os.getcwd()
    os.chdir(sitedir)
    db = StrictRedis.from_url(dburl)
    job = get_current_job(db)
    job.meta.update({'out': '', 'return': None, 'status': None})
    job.save()
    returncode, out = orphans_single(default_exec=True)

    job.meta.update({'out': out, 'return': returncode, 'status':
                     returncode == 0})
    job.save()
    os.chdir(oldcwd)
    return returncode
","def orphans(dburl, sitedir):
    """"""Remove all orphans in the site.""""""
    with open(dburl, 'r') as f:
        db = f.read()
    files = os.listdir(sitedir)
    for file in files:
        if file not in db:
            os.remove(os.path.join(sitedir, file))
"
line2361,2361,,,salvaged_valid,False,True,True,unindent does not match any outer indentation level at line 7,,,103,119,190,301,,,,"def load_all(self):
        """"""
        Force all reports to be loaded and parsed instead of lazy loading on demand.
        
        :returns: ``self`` or ``None`` if load fails
        """"""","
        try:
            self.toi.load_all()
            self.rosters.load_all()
            #self.summary.load_all()
            self.play_by_play.load_all()
            self.face_off_comp.load_all()
            return self
        except Exception as e:
            print(e)
            return None","
    for report in self.reports:
        if not report.load():
            return None
    return self
","
        for report in self.reports:
            if not report.load():
                return None
        return self
","def load_all(self):
        """"""
        Force all reports to be loaded and parsed instead of lazy loading on demand.

        :returns: ``self`` or ``None`` if load fails
        """"""
        try:
            self.toi.load_all()
            self.rosters.load_all()
            #self.summary.load_all()
            self.play_by_play.load_all()
            self.face_off_comp.load_all()
            return self
        except Exception as e:
            print(e)
            return None
","def load_all(self):
        """"""
        Force all reports to be loaded and parsed instead of lazy loading on demand.

        :returns: ``self`` or ``None`` if load fails
        """"""
        for report in self.reports:
            if not report.load():
                return None
        return self
"
line274,274,,,salvaged_valid,False,True,True,unindent does not match any outer indentation level at line 3,,,267,287,107,352,,,,"def add_dependency(self, from_task_name, to_task_name):
        """""" Add a dependency between two tasks. """"""","

        logger.debug('Adding dependency from {0} to {1}'.format(from_task_name, to_task_name))
        if not self.state.allow_change_graph:
            raise DagobahError(""job's graph is immutable in its current state: %s""
                               % self.state.status)

        self.add_edge(from_task_name, to_task_name)
        self.commit()","
    if from_task_name not in self.tasks:
        raise ValueError(f""Task '{from_task_name}' not found."")
    if to_task_name not in self.tasks:
        raise ValueError(f""Task '{to_task_name}' not found."")
    self.tasks[from_task_name].add_dependency(to_task_name)
","
        if from_task_name not in self.tasks:
            raise ValueError(f""Task '{from_task_name}' not found."")
        if to_task_name not in self.tasks:
            raise ValueError(f""Task '{to_task_name}' not found."")
        self.tasks[from_task_name].add_dependency(to_task_name)
","def add_dependency(self, from_task_name, to_task_name):
        """""" Add a dependency between two tasks. """"""

        logger.debug('Adding dependency from {0} to {1}'.format(from_task_name, to_task_name))
        if not self.state.allow_change_graph:
            raise DagobahError(""job's graph is immutable in its current state: %s""
                               % self.state.status)

        self.add_edge(from_task_name, to_task_name)
        self.commit()
","def add_dependency(self, from_task_name, to_task_name):
        """""" Add a dependency between two tasks. """"""
        if from_task_name not in self.tasks:
            raise ValueError(f""Task '{from_task_name}' not found."")
        if to_task_name not in self.tasks:
            raise ValueError(f""Task '{to_task_name}' not found."")
        self.tasks[from_task_name].add_dependency(to_task_name)
"
line2814,2814,,,salvaged_valid,False,True,True,unindent does not match any outer indentation level at line 3,,,284,316,103,364,,,,"def execute(self, args):
        """"""Execute the hook followed by the playbook using the hook as tag.""""""","
        hook_name = os.path.basename(args[0])
        extra_vars = None
        if hook_name in self._actions:
            extra_vars = self._actions[hook_name](args[1:])
        else:
            super(AnsibleHooks, self).execute(args)

        charmhelpers.contrib.ansible.apply_playbook(
            self.playbook_path, tags=[hook_name], extra_vars=extra_vars)","
    hook = args.get(""hook"")
    playbook = args.get(""playbook"")
    tag = args.get(""tag"")
    if hook and playbook and tag:
        self.run_hook(hook)
        self.run_playbook(playbook, tag=tag)
    else:
        raise ValueError(""Missing required arguments: hook, playbook, tag"")
","
        hook = args.get(""hook"")
        playbook = args.get(""playbook"")
        tag = args.get(""tag"")
        if hook and playbook and tag:
            self.run_hook(hook)
            self.run_playbook(playbook, tag=tag)
        else:
            raise ValueError(""Missing required arguments: hook, playbook, tag"")
","def execute(self, args):
        """"""Execute the hook followed by the playbook using the hook as tag.""""""
        hook_name = os.path.basename(args[0])
        extra_vars = None
        if hook_name in self._actions:
            extra_vars = self._actions[hook_name](args[1:])
        else:
            super(AnsibleHooks, self).execute(args)

        charmhelpers.contrib.ansible.apply_playbook(
            self.playbook_path, tags=[hook_name], extra_vars=extra_vars)
","def execute(self, args):
        """"""Execute the hook followed by the playbook using the hook as tag.""""""
        hook = args.get(""hook"")
        playbook = args.get(""playbook"")
        tag = args.get(""tag"")
        if hook and playbook and tag:
            self.run_hook(hook)
            self.run_playbook(playbook, tag=tag)
        else:
            raise ValueError(""Missing required arguments: hook, playbook, tag"")
"
line2314,2314,,,salvaged_valid,False,True,True,unindent does not match any outer indentation level at line 3,,,67,75,82,368,,,,"def extract_to_disk(self):
        """"""Extract all files and write them to disk.""""""","
        archive_name, extension = os.path.splitext(os.path.basename(self.file.name))
        if not os.path.isdir(os.path.join(os.getcwd(), archive_name)):
            os.mkdir(archive_name)
        os.chdir(archive_name)
        for filename, data in self.extract().items():
            f = open(filename, 'wb')
            f.write(data or b'')
            f.close()","
    for file in self.files:
        file.extract(self.output_dir)
","
        for file in self.files:
            file.extract(self.output_dir)
","def extract_to_disk(self):
        """"""Extract all files and write them to disk.""""""
        archive_name, extension = os.path.splitext(os.path.basename(self.file.name))
        if not os.path.isdir(os.path.join(os.getcwd(), archive_name)):
            os.mkdir(archive_name)
        os.chdir(archive_name)
        for filename, data in self.extract().items():
            f = open(filename, 'wb')
            f.write(data or b'')
            f.close()
","def extract_to_disk(self):
        """"""Extract all files and write them to disk.""""""
        for file in self.files:
            file.extract(self.output_dir)
"
line1770,1770,,,raw_valid,True,True,True,,,,537,537,852,415,,,,"def rank_centrality(n_items, data, alpha=0.0):
    """"""Compute the Rank Centrality estimate of model parameters.

    This function implements Negahban et al.'s Rank Centrality algorithm
    [NOS12]_. The algorithm is similar to :func:`~choix.ilsr_pairwise`, but
    considers the *ratio* of wins for each pair (instead of the total count).

    The transition rates of the Rank Centrality Markov chain are initialized
    with ``alpha``. When ``alpha > 0``, this corresponds to a form of
    regularization (see :ref:`regularization` for details).

    Parameters
    ----------
    n_items : int
        Number of distinct items.
    data : list of lists
        Pairwise-comparison data.
    alpha : float, optional
        Regularization parameter.

    Returns
    -------
    params : numpy.ndarray
        An estimate of model parameters.
    """"""","
    _, chain = _init_lsr(n_items, alpha, None)
    for winner, loser in data:
        chain[loser, winner] += 1.0
    # Transform the counts into ratios.
    idx = chain > 0  # Indices (i,j) of non-zero entries.
    chain[idx] = chain[idx] / (chain + chain.T)[idx]
    # Finalize the Markov chain by adding the self-transition rate.
    chain -= np.diag(chain.sum(axis=1))
    return log_transform(statdist(chain))","
    n_pairs = n_items * (n_items - 1) // 2
    counts = np.zeros(n_pairs)
    for winner, loser in data:
        winner -= 1
        loser -= 1
        if winner == loser:
            continue
        counts[winner + min(winner, loser)] += 1
    params = np.zeros(n_items)
    for i in range(n_items):
        for j in range(i + 1, n_items):
            idx = i + j
            if counts[idx] > 0:
                params[i] += counts[idx] / (counts[idx] + alpha)
                params[j] += 1 / (counts[idx] + alpha)
    return params
","
    n_pairs = n_items * (n_items - 1) // 2
    counts = np.zeros(n_pairs)
    for winner, loser in data:
        winner -= 1
        loser -= 1
        if winner == loser:
            continue
        counts[winner + min(winner, loser)] += 1
    params = np.zeros(n_items)
    for i in range(n_items):
        for j in range(i + 1, n_items):
            idx = i + j
            if counts[idx] > 0:
                params[i] += counts[idx] / (counts[idx] + alpha)
                params[j] += 1 / (counts[idx] + alpha)
    return params
","def rank_centrality(n_items, data, alpha=0.0):
    """"""Compute the Rank Centrality estimate of model parameters.

    This function implements Negahban et al.'s Rank Centrality algorithm
    [NOS12]_. The algorithm is similar to :func:`~choix.ilsr_pairwise`, but
    considers the *ratio* of wins for each pair (instead of the total count).

    The transition rates of the Rank Centrality Markov chain are initialized
    with ``alpha``. When ``alpha > 0``, this corresponds to a form of
    regularization (see :ref:`regularization` for details).

    Parameters
    ----------
    n_items : int
        Number of distinct items.
    data : list of lists
        Pairwise-comparison data.
    alpha : float, optional
        Regularization parameter.

    Returns
    -------
    params : numpy.ndarray
        An estimate of model parameters.
    """"""
    _, chain = _init_lsr(n_items, alpha, None)
    for winner, loser in data:
        chain[loser, winner] += 1.0
    # Transform the counts into ratios.
    idx = chain > 0  # Indices (i,j) of non-zero entries.
    chain[idx] = chain[idx] / (chain + chain.T)[idx]
    # Finalize the Markov chain by adding the self-transition rate.
    chain -= np.diag(chain.sum(axis=1))
    return log_transform(statdist(chain))
","def rank_centrality(n_items, data, alpha=0.0):
    """"""Compute the Rank Centrality estimate of model parameters.

    This function implements Negahban et al.'s Rank Centrality algorithm
    [NOS12]_. The algorithm is similar to :func:`~choix.ilsr_pairwise`, but
    considers the *ratio* of wins for each pair (instead of the total count).

    The transition rates of the Rank Centrality Markov chain are initialized
    with ``alpha``. When ``alpha > 0``, this corresponds to a form of
    regularization (see :ref:`regularization` for details).

    Parameters
    ----------
    n_items : int
        Number of distinct items.
    data : list of lists
        Pairwise-comparison data.
    alpha : float, optional
        Regularization parameter.

    Returns
    -------
    params : numpy.ndarray
        An estimate of model parameters.
    """"""
    n_pairs = n_items * (n_items - 1) // 2
    counts = np.zeros(n_pairs)
    for winner, loser in data:
        winner -= 1
        loser -= 1
        if winner == loser:
            continue
        counts[winner + min(winner, loser)] += 1
    params = np.zeros(n_items)
    for i in range(n_items):
        for j in range(i + 1, n_items):
            idx = i + j
            if counts[idx] > 0:
                params[i] += counts[idx] / (counts[idx] + alpha)
                params[j] += 1 / (counts[idx] + alpha)
    return params
"
